# Annotated with Bakta
# Software: v1.12.1
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	35496	36086	-	BBGPBF_00034	ydjM	Inner membrane protein YdjM	SO:0001217, UniRef:UniRef50_P64481
contig_1	cds	36178	36939	-	BBGPBF_00035		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	SO:0001217, UniRef:UniRef50_A0A136WFZ6
contig_1	cds	37089	37757	-	BBGPBF_00036		2-deoxyglucose-6-phosphatase	SO:0001217, UniRef:UniRef50_A0A264VSC4
contig_1	cds	37946	38482	+	BBGPBF_00037	yfeE	YfeABCD regulator yfeE	SO:0001217, UniRef:UniRef50_A0A0U5GL85
contig_1	cds	38512	38877	-	BBGPBF_00038	yciA	Acyl-CoA thioester hydrolase YciA	SO:0001217, UniRef:UniRef50_A0A8S0FVY3
contig_1	cds	39010	41193	-	BBGPBF_00039		Ferric enterobactin receptor	SO:0001217, UniRef:UniRef50_S6BLS3
contig_1	cds	41465	42004	-	BBGPBF_00040	yciB	Inner membrane-spanning protein YciB	SO:0001217, UniRef:UniRef50_Q8ZEH5
contig_1	cds	42059	42802	-	BBGPBF_00041	yciC	UPF0259 membrane protein YciC	SO:0001217, UniRef:UniRef50_P21365
contig_1	cds	42828	43241	-	BBGPBF_00042		Flagellin N-methylase	SO:0001217, UniRef:UniRef50_A0A840V4G3
contig_1	cds	43511	44149	+	BBGPBF_00043	ompW	Outer membrane protein OmpW	SO:0001217, UniRef:UniRef50_A0A510ID39
contig_1	cds	44234	44911	-	BBGPBF_00044		Iron-uptake factor	SO:0001217, UniRef:UniRef50_A0A085JK86
contig_1	cds	44960	47245	-	BBGPBF_00045		Catecholate siderophore receptor Fiu	SO:0001217, UniRef:UniRef50_P75780
contig_1	cds	47555	48262	-	BBGPBF_00046		Short-chain dehydrogenase/reductase SDR	SO:0001217, UniRef:UniRef50_V2TRE6
contig_1	cds	48381	48581	+	BBGPBF_00047		hypothetical protein	
contig_1	ncRNA	48534	48597	-	BBGPBF_00048	ryhB	RyhB RNA	RFAM:RF00057, SO:0000655
contig_1	cds	48690	49637	-	BBGPBF_00049	ppsC	Phthiocerol synthesis polyketide synthase type I PpsC	SO:0001217, UniRef:UniRef50_A0A0N0XJZ2
contig_1	cds	49712	50194	+	BBGPBF_00050	marR	Putative regulatory protein MarR	SO:0001217, UniRef:UniRef50_A0A377ZFS3
contig_1	cds	50198	51007	-	BBGPBF_00051		Tryptophan synthase alpha chain	SO:0001217, UniRef:UniRef50_P43759
contig_1	cds	51007	52200	-	BBGPBF_00052		Tryptophan synthase beta chain	SO:0001217, UniRef:UniRef50_P0A879
contig_1	cds	52210	53568	-	BBGPBF_00053		Tryptophan biosynthesis protein TrpCF	SO:0001217, UniRef:UniRef50_P00909
contig_1	cds	53572	55167	-	BBGPBF_00054		Anthranilate phosphoribosyltransferase	SO:0001217, UniRef:UniRef50_Q7MM54
contig_1	cds	55167	56729	-	BBGPBF_00055		Anthranilate synthase component 1	SO:0001217, UniRef:UniRef50_A0A378BCZ8
contig_1	ncRNA-region	56763	56858	-			Tryptophan operon leader	RFAM:RF00513, SO:0000140
contig_1	cds	57018	57881	+	BBGPBF_00056	yciV	5'-3' exoribonuclease	BlastRules:WP_000500442, EC:3.1.13.-, EC:3.1.3.97, SO:0001217, UniRef:UniRef50_A0A1H7Z4W0
contig_1	cds	57898	58518	+	BBGPBF_00057		Threonylcarbamoyl-AMP synthase	SO:0001217, UniRef:UniRef50_A0A161HVR8
contig_1	cds	58540	59448	-	BBGPBF_00058	eamA	EamA domain-containing protein	SO:0001217, UniRef:UniRef50_A0A8B6ISW6
contig_1	cds	59560	60456	+	BBGPBF_00059	lysR	LysR family transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A0C7KCD4
contig_1	cds	60737	61639	+	BBGPBF_00060		Pseudouridine synthase	SO:0001217, UniRef:UniRef50_E0SBW9
contig_1	cds	61699	62289	-	BBGPBF_00061		Corrinoid adenosyltransferase	SO:0001217, UniRef:UniRef50_P0A9H5
contig_1	cds	62286	63086	-	BBGPBF_00062	yciK	Uncharacterized oxidoreductase yciK	SO:0001217, UniRef:UniRef50_A0A379AFG5
contig_1	cds	63266	64348	+	BBGPBF_00063	sohB	putative protease SohB	SO:0001217, UniRef:UniRef50_P57370
contig_1	cds	64396	64647	-	BBGPBF_00064	yciN	YciN family protein	SO:0001217, UniRef:UniRef50_B7LS08
contig_1	cds	65054	67651	+	BBGPBF_00065		type I DNA topoisomerase	BlastRules:WP_000513593, EC:5.6.2.1, SO:0001217, UniRef:UniRef50_A0A376RJU3
contig_1	cds	67997	68971	+	BBGPBF_00066	cysB	HTH-type transcriptional regulator CysB	SO:0001217, UniRef:UniRef50_P0A9F3
contig_1	cds	69217	69384	+	BBGPBF_00067	ymiA	YmiA family membrane protein	SO:0001217, UniRef:UniRef50_A0A0H3FXP5
contig_1	cds	69773	72445	+	BBGPBF_00068		Aconitate hydratase A	SO:0001217, UniRef:UniRef50_Q8ZP52
contig_1	cds	72492	73094	-	BBGPBF_00069		GTP cyclohydrolase-2	SO:0001217, UniRef:UniRef50_A0A379AH52
contig_1	cds	73258	74025	+	BBGPBF_00070		Phosphatidylglycerophosphatase B	SO:0001217, UniRef:UniRef50_P0A924
contig_1	cds	74161	74469	+	BBGPBF_00071		Lipopolysaccharide assembly protein A	SO:0001217, UniRef:UniRef50_E6WDS8
contig_1	cds	74476	75645	+	BBGPBF_00072		Lipopolysaccharide assembly protein B	SO:0001217, UniRef:UniRef50_C4K8Q1
contig_1	cds	75837	76574	+	BBGPBF_00073		Orotidine 5'-phosphate decarboxylase	SO:0001217, UniRef:UniRef50_P08244
contig_1	cds	76574	76900	+	BBGPBF_00074		Translation initiation factor Sui1	SO:0001217, UniRef:UniRef50_A0A379F3N6
contig_1	cds	77032	77253	-	BBGPBF_00075		Glycine zipper 2TM domain-containing protein	SO:0001217, UniRef:UniRef50_H2IX65
contig_1	cds	77526	78275	-	BBGPBF_00076	yciT	Uncharacterized HTH-type transcriptional regulator YciT	SO:0001217, UniRef:UniRef50_P76034
contig_1	cds	78347	78526	-	BBGPBF_00077	yciZ	UPF0509 protein YciZ	SO:0001217, UniRef:UniRef50_B7LRZ3
contig_1	cds	78685	80619	-	BBGPBF_00078		Exoribonuclease 2	SO:0001217, UniRef:UniRef50_D0Z8E6
contig_1	cds	80701	81858	-	BBGPBF_00079		Oxidoreductase	SO:0001217, UniRef:UniRef50_A0A090V4V4
contig_1	cds	82049	82837	-	BBGPBF_00080	fabI	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI	SO:0001217, UniRef:UniRef50_P0AEK4
contig_1	cds	83036	83578	-	BBGPBF_00081	hutD	HutD family protein	SO:0001217, UniRef:UniRef50_A0A0H3FTS7
contig_1	cds	83775	85205	+	BBGPBF_00082		Cytosine permease	SO:0001217, UniRef:UniRef50_A0AAJ1D1I4
contig_1	cds	85250	86059	-	BBGPBF_00083	sapF	Putrescine export system ATP-binding protein SapF	SO:0001217, UniRef:UniRef50_P0AAH8
contig_1	cds	86061	87053	-	BBGPBF_00084	gsiA	Glutathione import ATP-binding protein GsiA	SO:0001217, UniRef:UniRef50_A0A0F7D2Y9
contig_1	cds	87053	87943	-	BBGPBF_00085	sapC	Putrescine export system permease protein SapC	SO:0001217, UniRef:UniRef50_P0AGH5
contig_1	cds	87930	88895	-	BBGPBF_00086	sapB	Putrescine export system permease protein SapB	SO:0001217, UniRef:UniRef50_P0AGH3
contig_1	cds	88892	90535	-	BBGPBF_00087		Peptide ABC transporter substrate-binding protein	SO:0001217, UniRef:UniRef50_A0A379S2B4
contig_1	cds	90869	91774	-	BBGPBF_00088		NAD-dependent epimerase/dehydratase domain-containing protein	SO:0001217, UniRef:UniRef50_V5U2A4
contig_1	cds	91885	92727	+	BBGPBF_00089		HTH cro/C1-type domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0H3GRQ9
contig_1	cds	92694	95015	-	BBGPBF_00090	araC	AraC family transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A2X3F6S8
contig_1	cds	95187	96356	+	BBGPBF_00091		Amidohydrolase	SO:0001217, UniRef:UniRef50_A0A822X452
contig_1	cds	96382	97773	+	BBGPBF_00092		Transporter	SO:0001217, UniRef:UniRef50_A0A4V4FXW0
contig_1	cds	97764	98738	-	BBGPBF_00093		Phage shock protein operon transcriptional activator	SO:0001217, UniRef:UniRef50_A0A4Q3A8M6
contig_1	cds	98906	99574	+	BBGPBF_00094		Phage shock protein A	SO:0001217, UniRef:UniRef50_A0A377K755
contig_1	cds	99630	99854	+	BBGPBF_00095	pspB	Envelope stress response membrane protein PspB	SO:0001217, UniRef:UniRef50_Q9F4H3
contig_1	cds	99854	100213	+	BBGPBF_00096	pspC	Envelope stress response membrane protein PspC	SO:0001217, UniRef:UniRef50_A0A484Z727
contig_1	cds	100242	100460	+	BBGPBF_00097		Phage shock protein	SO:0001217, UniRef:UniRef50_A0A014NBT3
contig_1	cds	100563	101960	+	BBGPBF_00098		6-carboxy-5,6,7,8-tetrahydropterin synthase	SO:0001217, UniRef:UniRef50_A0A2W6PJ41
contig_1	cds	101957	103018	+	BBGPBF_00099	ycjF	UPF0283 membrane protein YcjF	SO:0001217, UniRef:UniRef50_P0A8R7
contig_1	cds	103108	103962	-	BBGPBF_00100	lysR	LysR family transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A486V616
contig_1	cds	104039	104773	+	BBGPBF_00101		hypothetical protein	PFAM:PF11975.13
contig_1	cds	104946	106487	+	BBGPBF_00102	tyrR	HTH-type transcriptional regulatory protein TyrR	SO:0001217, UniRef:UniRef50_A0A377ZSM4
contig_1	cds	106589	107641	+	BBGPBF_00103	abrB	Protein AbrB	SO:0001217, UniRef:UniRef50_A0A919LU17
contig_1	cds	107712	108218	-	BBGPBF_00104		Thiol peroxidase	SO:0001217, UniRef:UniRef50_Q8XVP0
contig_1	cds	108321	109286	+	BBGPBF_00105		L-Ala-D/L-Glu epimerase	SO:0001217, UniRef:UniRef50_P51981
contig_1	cds	109283	109990	-	BBGPBF_00106	mpaA	Murein tripeptide amidase MpaA	SO:0001217, UniRef:UniRef50_A0A4Z0PF67
contig_1	cds	110176	111792	+	BBGPBF_00107	mppA	Periplasmic murein peptide-binding protein MppA	SO:0001217, UniRef:UniRef50_P77348
contig_1	cds	111960	112346	-	BBGPBF_00108		Glyoxalase-like domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1T4PNT9
contig_1	cds	112577	113410	+	BBGPBF_00109		Conjugal transfer protein	SO:0001217, UniRef:UniRef50_A0A0H3GNI3
contig_1	cds	113535	114419	-	BBGPBF_00110		HTH lysR-type domain-containing protein	SO:0001217, UniRef:UniRef50_V2UHP0
contig_1	cds	114670	115728	+	BBGPBF_00111		Xaa-Pro dipeptidyl-peptidase-like domain-containing protein	SO:0001217, UniRef:UniRef50_Q65QI1
contig_1	cds	115801	117003	+	BBGPBF_00112	nepI	Purine ribonucleoside efflux pump nepI	SO:0001217, UniRef:UniRef50_A0A2X4URE5
contig_1	cds	117082	117951	+	BBGPBF_00113		Aldo/keto reductase	SO:0001217, UniRef:UniRef50_A0A066SX16
contig_1	cds	118137	118427	+	BBGPBF_00114		hypothetical protein	PFAM:PF13581.12
contig_1	cds	118988	119902	-	BBGPBF_00115	pgrR	HTH-type transcriptional regulator PgrR	SO:0001217, UniRef:UniRef50_A0A0C7KC93
contig_1	cds	120011	120772	+	BBGPBF_00116		7-alpha-hydroxysteroid dehydrogenase	SO:0001217, UniRef:UniRef50_A0A0C7KGY6
contig_1	cds	120989	122521	+	BBGPBF_00117		HD/PDEase domain-containing protein	SO:0001217, UniRef:UniRef50_A0A8B6ISY7
contig_1	cds	122720	123286	-	BBGPBF_00118		Glutamine amidotransferase	SO:0001217, UniRef:UniRef50_A0A0U5ERB1
contig_1	cds	123927	124418	+	BBGPBF_00119	tssB	type VI secretion system contractile sheath small subunit VipA	SO:0001217, UniRef:UniRef50_A0A383RXY8, VFDB:VFC0086, VFDB:VFG048632
contig_1	cds	124461	126005	+	BBGPBF_00120	tssC	type VI secretion system contractile sheath large subunit VipB	SO:0001217, UniRef:UniRef50_A0A158CVX2, VFDB:VFC0086, VFDB:VFG048643
contig_1	cds	126015	127358	+	BBGPBF_00121	tssK	type VI secretion system baseplate subunit TssK	SO:0001217, UniRef:UniRef50_A0A0H3GRZ0, VFDB:VFC0086, VFDB:VFG048654
contig_1	cds	127355	128044	+	BBGPBF_00122	tssL	type VI secretion system protein, DotU/TssL family	SO:0001217, UniRef:UniRef50_A0A2I0FXR7, VFDB:VFC0086, VFDB:VFG048665
contig_1	cds	128041	129747	+	BBGPBF_00123	ompA	OmpA family protein	SO:0001217, UniRef:UniRef50_UPI00063C0ED2, VFDB:VFC0086, VFDB:VFG048676
contig_1	cds	129752	130243	+	BBGPBF_00124	hcp	type VI secretion system effector Hcp	BlastRules:WP_002902160, SO:0001217, UniRef:UniRef50_A0A1C0U1S2
contig_1	cds	130508	133162	+	BBGPBF_00125	tssH	type VI secretion system ATPase TssH	SO:0001217, UniRef:UniRef50_A0A855ERQ3, VFDB:VFC0086, VFDB:VFG048697
contig_1	cds	133155	135533	+	BBGPBF_00126	vgrG	Type VI secretion system secreted protein VgrG	SO:0001217, UniRef:UniRef50_A0A1C4FRN5
contig_1	cds	135534	136313	+	BBGPBF_00127		DUF4123 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0H3GNR7
contig_1	cds	136377	136904	+	BBGPBF_00128	tli1	T6SS immunity phospholipase A1-binding lipoprotein Tli1-KP	BlastRules:WP_002902172, SO:0001217, UniRef:UniRef50_L0MDJ3
contig_1	cds	136972	137502	+	BBGPBF_00129	tli1	T6SS immunity phospholipase A1-binding lipoprotein Tli1-KP	BlastRules:WP_002902172, SO:0001217, UniRef:UniRef50_A0A5Q2VF57
contig_1	cds	137570	138100	+	BBGPBF_00130	tli1	T6SS immunity phospholipase A1-binding lipoprotein Tli1-KP	BlastRules:WP_002902172, SO:0001217, UniRef:UniRef50_L0MDJ3
contig_1	cds	138088	140529	+	BBGPBF_00131		T6SS Phospholipase effector Tle1-like C-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_A0A485C5N1
contig_1	cds	140550	141098	+	BBGPBF_00132	tli1	T6SS immunity phospholipase A1-binding lipoprotein Tli1-KP	BlastRules:WP_002902172, SO:0001217, UniRef:UniRef50_L0MDJ3
contig_1	cds	141167	141697	+	BBGPBF_00133	tli1	T6SS immunity phospholipase A1-binding lipoprotein Tli1-KP	BlastRules:WP_002902172, SO:0001217, UniRef:UniRef50_A0A5Q2VF57
contig_1	cds	141766	142296	+	BBGPBF_00134	tli1	T6SS immunity phospholipase A1-binding lipoprotein Tli1-KP	BlastRules:WP_002902172, SO:0001217, UniRef:UniRef50_L0MDJ3
contig_1	cds	142365	142895	+	BBGPBF_00135	tli1	T6SS immunity phospholipase A1-binding lipoprotein Tli1-KP	BlastRules:WP_002902172, SO:0001217, UniRef:UniRef50_A0A5Q2VF57
contig_1	cds	142883	145336	+	BBGPBF_00136		DUF2235 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0H3FI96
contig_1	cds	145357	145614	+	BBGPBF_00137		hypothetical protein	PFAM:PF05488.18
contig_1	cds	145611	146735	+	BBGPBF_00138		hypothetical protein	
contig_1	cds	146735	150163	+	BBGPBF_00139	tssM	type VI secretion protein TssM	SO:0001217, UniRef:UniRef50_R8WT75, VFDB:VFC0086, VFDB:VFG048755
contig_1	cds	150160	151752	+	BBGPBF_00140	impA	ImpA N-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_H5UZ63
contig_1	cds	151832	153586	+	BBGPBF_00141	tssF	type VI secretion system baseplate subunit TssF	SO:0001217, UniRef:UniRef50_A0A0H3GMD4, VFDB:VFC0086, VFDB:VFG048771
contig_1	cds	153550	154635	+	BBGPBF_00142	tssG	type VI secretion system baseplate subunit TssG	SO:0001217, UniRef:UniRef50_A0A443IEX3, VFDB:VFC0086, VFDB:VFG048779
contig_1	cds	154613	155155	+	BBGPBF_00143	tssJ	type VI secretion system lipoprotein TssJ	SO:0001217, UniRef:UniRef50_A0A4P8YK98, VFDB:VFC0086, VFDB:VFG048787
contig_1	cds	155282	155776	+	BBGPBF_00144	evpB	Type VI secretion protein EvpB	SO:0001217, UniRef:UniRef50_A0AAN1DX13
contig_1	cds	155843	156556	-	BBGPBF_00145		Enoyl-[acyl-carrier-protein] reductase [NADPH]	SO:0001217, UniRef:UniRef50_A0A177GCP5
contig_1	cds	156630	157223	+	BBGPBF_00146		HTH tetR-type domain-containing protein	SO:0001217, UniRef:UniRef50_G9ZWL4
contig_1	cds	157228	157983	-	BBGPBF_00147		Short-chain alcohol dehydrogenase like protein	SO:0001217, UniRef:UniRef50_H8L4P9
contig_1	cds	158142	159020	+	BBGPBF_00148	araC	AraC family transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A331ZJK6
contig_1	cds	159071	159277	-	BBGPBF_00149		hypothetical protein	PFAM:PF07338.18
contig_1	cds	159303	160232	-	BBGPBF_00150		2'-hydroxyisoflavone reductase	SO:0001217, UniRef:UniRef50_A0A8E1RSZ0
contig_1	cds	160371	161276	+	BBGPBF_00151		Transcriptional regulator	SO:0001217, UniRef:UniRef50_W9BGD1
contig_1	cds	161296	162219	-	BBGPBF_00152	lysR	LysR substrate-binding domain-containing protein	SO:0001217, UniRef:UniRef50_A0A7H0EG21
contig_1	cds	162310	163176	+	BBGPBF_00153		MBL fold metallo-hydrolase	SO:0001217, UniRef:UniRef50_A0A8I0DE41
contig_1	cds	163169	164080	+	BBGPBF_00154		NAD(P)H azoreductase	SO:0001217, UniRef:UniRef50_A0A6P1PVH0
contig_1	cds	164135	164683	-	BBGPBF_00155	tetR	TetR family transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A9W6I0F4
contig_1	cds	164772	165791	+	BBGPBF_00156		2-haloacrylate reductase	SO:0001217, UniRef:UniRef50_A0A486NIC1
contig_1	cds	165836	167011	-	BBGPBF_00157		Aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	SO:0001217, UniRef:UniRef50_A0A080SXW2
contig_1	cds	167232	168038	+	BBGPBF_00158		Methionine ABC transporter substrate-binding protein	SO:0001217, UniRef:UniRef50_A0A2X3ITW1
contig_1	cds	168035	169060	+	BBGPBF_00159		ABC transporter, ATP-binding protein	SO:0001217, UniRef:UniRef50_A0A378BEB9
contig_1	cds	169053	169721	+	BBGPBF_00160		ABC transmembrane type-1 domain-containing protein	SO:0001217, UniRef:UniRef50_S2XCZ2
contig_1	cds	169750	170949	-	BBGPBF_00161		Aminotransferase	SO:0001217, UniRef:UniRef50_A0A379LMP3
contig_1	cds	170988	171602	-	BBGPBF_00162	yitT	YitT family protein	SO:0001217, UniRef:UniRef50_A0A0H3GNW1
contig_1	cds	171854	172333	-	BBGPBF_00163	asnC	Transcriptional regulator, AsnC family	SO:0001217, UniRef:UniRef50_D2BVY5
contig_1	cds	172668	174047	+	BBGPBF_00164		Amino acid permease/ SLC12A domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0G3EUP7
contig_1	cds	174298	175044	+	BBGPBF_00165		Inner membrane protein	SO:0001217, UniRef:UniRef50_A0A0H3GSK0
contig_1	cds	175157	175351	-	BBGPBF_00166		Haemolysin-type calcium binding-related domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0L0GK14
contig_1	cds	175588	176706	-	BBGPBF_00167		Oxidoreductase	SO:0001217, UniRef:UniRef50_A0A486KVA6
contig_1	cds	176669	177412	-	BBGPBF_00168	deoR	DeoR family transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A179PZQ9
contig_1	cds	177691	178674	+	BBGPBF_00169	zntB	Zinc transport protein ZntB	SO:0001217, UniRef:UniRef50_P64423
contig_1	ncRNA	178770	178887	+	BBGPBF_00170	frnS	Fumarate/nitrate reductase regulator sRNA	RFAM:RF01796, SO:0000655
contig_1	cds	179200	180573	+	BBGPBF_00171	dbpA	ATP-dependent RNA helicase DbpA	SO:0001217, UniRef:UniRef50_A0A366I976
contig_1	cds	180619	181554	-	BBGPBF_00172		tRNA-cytidine(32) 2-sulfurtransferase	SO:0001217, UniRef:UniRef50_Q1QZ76
contig_1	cds	181788	182222	-	BBGPBF_00173		Universal stress protein F	SO:0001217, UniRef:UniRef50_P37903
contig_1	cds	182304	182516	-	BBGPBF_00174		KTSC domain-containing protein	SO:0001217, UniRef:UniRef50_A8AGE3
contig_1	cds	182660	183814	-	BBGPBF_00175	ompK37	porin OmpK37	BlastRules:WP_119721401, SO:0001217, UniRef:UniRef50_P02931
contig_1	ncRNA	184034	184157	+	BBGPBF_00176	micC	MicC RNA	RFAM:RF00121, SO:0000655
contig_1	cds	184171	187698	-	BBGPBF_00177		Pyruvate-flavodoxin oxidoreductase	SO:0001217, UniRef:UniRef50_A0A4R3I7Q4
contig_1	cds	188061	188324	+	BBGPBF_00178		hypothetical protein	PFAM:PF03891.20
contig_1	cds	188370	188810	-	BBGPBF_00179		DUF306 domain-containing protein	SO:0001217, UniRef:UniRef50_A8AGE9
contig_1	cds	188933	189922	-	BBGPBF_00180		D-lactate dehydrogenase	SO:0001217, UniRef:UniRef50_P52643
contig_1	cds	190070	190570	-	BBGPBF_00181		hypothetical protein	PFAM:PF09335.16
contig_1	cds	190777	193416	+	BBGPBF_00182		YdbH-like domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0H3CKM4
contig_1	cds	193413	193598	+	BBGPBF_00183		YnbE-like lipoprotein	SO:0001217, UniRef:UniRef50_B3QPI2
contig_1	cds	193606	193929	+	BBGPBF_00184		DUF1318 domain-containing protein	SO:0001217, UniRef:UniRef50_H5V5C9
contig_1	cds	193930	194832	-	BBGPBF_00185	feaR	Transcriptional activator FeaR	SO:0001217, UniRef:UniRef50_Q47129
contig_1	cds	195068	196567	+	BBGPBF_00186		Phenylacetaldehyde dehydrogenase	SO:0001217, UniRef:UniRef50_A0A0U5ESV1
contig_1	cds	196692	197582	+	BBGPBF_00187		2-dehydropantoate 2-reductase	SO:0001217, UniRef:UniRef50_P9WIL1
contig_1	cds	197659	198609	+	BBGPBF_00188		enoyl-[acyl-carrier-protein] reductase	SO:0001217, UniRef:UniRef50_A0A3P8KLS1
contig_1	cds	198612	200879	-	BBGPBF_00189		Amine oxidase	SO:0001217, UniRef:UniRef50_A0A2N4YX98
contig_1	cds	201356	203401	-	BBGPBF_00190	paaZ	Bifunctional protein PaaZ	SO:0001217, UniRef:UniRef50_P77455
contig_1	cds	203688	204617	+	BBGPBF_00191		1,2-phenylacetyl-CoA epoxidase subunit A	SO:0001217, UniRef:UniRef50_A0A1Y6GI22
