# Annotated with Bakta
# Software: v1.12.1
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	30390	31148	+	BBGPBF_00030	380.0	1.1e-132	0.972	0.854	0.780	UniRef:UniRef50_P37794
contig_1	cds	31206	33464	-	BBGPBF_00031	935.0	0.0	0.948	0.814	0.637	UniRef:UniRef50_P21179
contig_1	cds	33577	33909	+	BBGPBF_00032	-	-	-	-	-	-
contig_1	cds	33969	35360	-	BBGPBF_00033	642.0	5.9e-231	0.827	1.0	0.896	UniRef:UniRef50_A0A1L8I482
contig_1	cds	35496	36086	-	BBGPBF_00034	286.0	2.4e-97	1.0	0.845	0.663	UniRef:UniRef50_P64481
contig_1	cds	36178	36939	-	BBGPBF_00035	316.0	2.0e-107	1.055	0.996	0.625	UniRef:UniRef50_A0A136WFZ6
contig_1	cds	37089	37757	-	BBGPBF_00036	333.0	1.3e-115	1.0	1.0	0.779	UniRef:UniRef50_A0A264VSC4
contig_1	cds	37946	38482	+	BBGPBF_00037	246.0	4.1e-82	0.944	0.875	0.667	UniRef:UniRef50_A0A0U5GL85
contig_1	cds	38512	38877	-	BBGPBF_00038	190.0	3.3e-62	0.901	1.0	0.853	UniRef:UniRef50_A0A8S0FVY3
contig_1	cds	39010	41193	-	BBGPBF_00039	975.0	0.0	0.982	0.930	0.667	UniRef:UniRef50_S6BLS3
contig_1	cds	41465	42004	-	BBGPBF_00040	241.0	2.7e-80	0.916	0.816	0.713	UniRef:UniRef50_Q8ZEH5
contig_1	cds	42059	42802	-	BBGPBF_00041	437.0	2.0e-155	1.0	0.915	1.0	UniRef:UniRef50_P21365
contig_1	cds	42828	43241	-	BBGPBF_00042	134.0	3.0e-39	0.942	0.832	0.543	UniRef:UniRef50_A0A840V4G3
contig_1	cds	43511	44149	+	BBGPBF_00043	228.0	3.0e-74	1.009	1.0	0.519	UniRef:UniRef50_A0A510ID39
contig_1	cds	44234	44911	-	BBGPBF_00044	276.0	5.0e-93	0.991	0.996	0.605	UniRef:UniRef50_A0A085JK86
contig_1	cds	44960	47245	-	BBGPBF_00045	1489.0	0.0	1.0	0.949	0.987	UniRef:UniRef50_P75780
contig_1	cds	47555	48262	-	BBGPBF_00046	268.0	1.9e-88	0.991	0.809	0.571	UniRef:UniRef50_V2TRE6
contig_1	cds	48381	48581	+	BBGPBF_00047	-	-	-	-	-	-
contig_1	ncRNA	48534	48597	-	BBGPBF_00048	74.2	2.9e-11	-	-	-	RFAM:RF00057
contig_1	cds	48690	49637	-	BBGPBF_00049	326.0	1.7e-109	1.010	0.944	0.563	UniRef:UniRef50_A0A0N0XJZ2
contig_1	cds	49712	50194	+	BBGPBF_00050	209.0	4.5e-68	0.956	0.879	0.673	UniRef:UniRef50_A0A377ZFS3
contig_1	cds	50198	51007	-	BBGPBF_00051	425.0	7.7e-150	1.115	0.997	0.743	UniRef:UniRef50_P43759
contig_1	cds	51007	52200	-	BBGPBF_00052	745.0	2.5e-271	0.995	0.823	0.934	UniRef:UniRef50_P0A879
contig_1	cds	52210	53568	-	BBGPBF_00053	639.0	7.4e-228	1.150	0.994	0.648	UniRef:UniRef50_P00909
contig_1	cds	53572	55167	-	BBGPBF_00054	669.0	3.6e-240	0.821	1.085	0.821	UniRef:UniRef50_Q7MM54
contig_1	cds	55167	56729	-	BBGPBF_00055	833.0	2.4e-304	0.823	0.943	1.0	UniRef:UniRef50_A0A378BCZ8
contig_1	ncRNA-region	56763	56858	-	-	82.7	1.6e-13	-	-	-	RFAM:RF00513
contig_1	cds	57018	57881	+	BBGPBF_00056	468.0	1.7e-168	0.986	0.966	0.813	BlastRules:WP_000500442
contig_1	cds	57898	58518	+	BBGPBF_00057	250.0	1.2e-82	0.995	0.820	0.620	UniRef:UniRef50_A0A161HVR8
contig_1	cds	58540	59448	-	BBGPBF_00058	584.0	1.4e-211	0.983	0.900	0.993	UniRef:UniRef50_A0A8B6ISW6
contig_1	cds	59560	60456	+	BBGPBF_00059	323.0	8.2e-109	0.960	0.897	0.573	UniRef:UniRef50_A0A0C7KCD4
contig_1	cds	60737	61639	+	BBGPBF_00060	478.0	3.2e-170	0.943	0.922	0.837	UniRef:UniRef50_E0SBW9
contig_1	cds	61699	62289	-	BBGPBF_00061	260.0	7.6e-87	0.985	0.828	0.637	UniRef:UniRef50_P0A9H5
contig_1	cds	62286	63086	-	BBGPBF_00062	384.0	6.7e-135	0.838	0.982	0.870	UniRef:UniRef50_A0A379AFG5
contig_1	cds	63266	64348	+	BBGPBF_00063	629.0	5.0e-227	0.994	0.884	0.916	UniRef:UniRef50_P57370
contig_1	cds	64396	64647	-	BBGPBF_00064	94.4	4.9e-25	0.976	0.802	0.580	UniRef:UniRef50_B7LS08
contig_1	cds	65054	67651	+	BBGPBF_00065	1628.0	0.0	1.0	1.0	0.928	BlastRules:WP_000513593
contig_1	cds	67997	68971	+	BBGPBF_00066	640.0	1.4e-232	1.0	0.846	1.0	UniRef:UniRef50_P0A9F3
contig_1	cds	69217	69384	+	BBGPBF_00067	110.0	2.2e-32	0.982	0.844	1.0	UniRef:UniRef50_A0A0H3FXP5
contig_1	cds	69773	72445	+	BBGPBF_00068	1739.0	0.0	1.0	0.931	0.979	UniRef:UniRef50_Q8ZP52
contig_1	cds	72492	73094	-	BBGPBF_00069	311.0	6.8e-108	0.805	0.925	0.938	UniRef:UniRef50_A0A379AH52
contig_1	cds	73258	74025	+	BBGPBF_00070	509.0	2.5e-183	1.0	0.853	1.0	UniRef:UniRef50_P0A924
contig_1	cds	74161	74469	+	BBGPBF_00071	103.0	1.8e-28	0.833	0.817	0.576	UniRef:UniRef50_E6WDS8
contig_1	cds	74476	75645	+	BBGPBF_00072	489.0	1.1e-171	1.008	1.0	0.610	UniRef:UniRef50_C4K8Q1
contig_1	cds	75837	76574	+	BBGPBF_00073	347.0	1.9e-119	0.943	0.811	0.753	UniRef:UniRef50_P08244
contig_1	cds	76574	76900	+	BBGPBF_00074	174.0	8.3e-56	0.981	0.848	0.811	UniRef:UniRef50_A0A379F3N6
contig_1	cds	77032	77253	-	BBGPBF_00075	71.6	1.7e-16	0.918	0.859	0.597	UniRef:UniRef50_H2IX65
contig_1	cds	77526	78275	-	BBGPBF_00076	352.0	2.1e-121	0.932	0.823	0.776	UniRef:UniRef50_P76034
contig_1	cds	78347	78526	-	BBGPBF_00077	76.6	6.8e-19	1.017	0.952	0.683	UniRef:UniRef50_B7LRZ3
contig_1	cds	78685	80619	-	BBGPBF_00078	914.0	0.0	1.002	0.905	0.698	UniRef:UniRef50_D0Z8E6
contig_1	cds	80701	81858	-	BBGPBF_00079	432.0	7.4e-149	0.987	0.929	0.595	UniRef:UniRef50_A0A090V4V4
contig_1	cds	82049	82837	-	BBGPBF_00080	479.0	3.2e-171	1.0	0.859	0.931	UniRef:UniRef50_P0AEK4
contig_1	cds	83036	83578	-	BBGPBF_00081	302.0	2.4e-104	0.978	0.880	0.824	UniRef:UniRef50_A0A0H3FTS7
contig_1	cds	83775	85205	+	BBGPBF_00082	676.0	1.7e-241	0.962	0.836	0.747	UniRef:UniRef50_A0AAJ1D1I4
contig_1	cds	85250	86059	-	BBGPBF_00083	415.0	8.3e-146	0.989	0.869	0.793	UniRef:UniRef50_P0AAH8
contig_1	cds	86061	87053	-	BBGPBF_00084	584.0	3.8e-211	0.997	0.982	0.851	UniRef:UniRef50_A0A0F7D2Y9
contig_1	cds	87053	87943	-	BBGPBF_00085	519.0	3.1e-186	1.081	1.0	0.838	UniRef:UniRef50_P0AGH5
contig_1	cds	87930	88895	-	BBGPBF_00086	618.0	1.5e-224	1.0	0.928	1.0	UniRef:UniRef50_P0AGH3
contig_1	cds	88892	90535	-	BBGPBF_00087	784.0	1.7e-284	0.837	1.002	0.834	UniRef:UniRef50_A0A379S2B4
contig_1	cds	90869	91774	-	BBGPBF_00088	313.0	9.9e-105	0.990	0.946	0.574	UniRef:UniRef50_V5U2A4
contig_1	cds	91885	92727	+	BBGPBF_00089	563.0	3.3e-204	1.0	0.933	0.996	UniRef:UniRef50_A0A0H3GRQ9
contig_1	cds	92694	95015	-	BBGPBF_00090	1533.0	0.0	0.994	0.975	0.992	UniRef:UniRef50_A0A2X3F6S8
contig_1	cds	95187	96356	+	BBGPBF_00091	662.0	2.9e-239	1.0	0.911	0.835	UniRef:UniRef50_A0A822X452
contig_1	cds	96382	97773	+	BBGPBF_00092	813.0	3.3e-297	0.968	0.941	0.996	UniRef:UniRef50_A0A4V4FXW0
contig_1	cds	97764	98738	-	BBGPBF_00093	338.0	7.2e-114	1.0	0.956	0.540	UniRef:UniRef50_A0A4Q3A8M6
contig_1	cds	98906	99574	+	BBGPBF_00094	196.0	1.5e-61	0.995	1.0	0.552	UniRef:UniRef50_A0A377K755
contig_1	cds	99630	99854	+	BBGPBF_00095	103.0	5.2e-29	0.986	0.973	0.726	UniRef:UniRef50_Q9F4H3
contig_1	cds	99854	100213	+	BBGPBF_00096	156.0	9.2e-49	0.958	0.912	0.693	UniRef:UniRef50_A0A484Z727
contig_1	cds	100242	100460	+	BBGPBF_00097	78.2	4.3e-19	0.917	0.835	0.591	UniRef:UniRef50_A0A014NBT3
contig_1	cds	100563	101960	+	BBGPBF_00098	848.0	2.6e-310	1.077	1.0	0.838	UniRef:UniRef50_A0A2W6PJ41
contig_1	cds	101957	103018	+	BBGPBF_00099	427.0	1.1e-147	0.994	0.854	0.670	UniRef:UniRef50_P0A8R7
contig_1	cds	103108	103962	-	BBGPBF_00100	546.0	7.3e-197	0.958	0.834	0.985	UniRef:UniRef50_A0A486V616
contig_1	cds	104039	104773	+	BBGPBF_00101	-	-	-	-	-	-
contig_1	cds	104946	106487	+	BBGPBF_00102	806.0	1.7e-294	0.803	1.0	0.990	UniRef:UniRef50_A0A377ZSM4
contig_1	cds	106589	107641	+	BBGPBF_00103	477.0	2.1e-169	1.0	1.264	0.786	UniRef:UniRef50_A0A919LU17
contig_1	cds	107712	108218	-	BBGPBF_00104	241.0	1.1e-80	0.994	1.0	0.743	UniRef:UniRef50_Q8XVP0
contig_1	cds	108321	109286	+	BBGPBF_00105	506.0	8.9e-180	1.0	0.858	0.788	UniRef:UniRef50_P51981
contig_1	cds	109283	109990	-	BBGPBF_00106	350.0	4.2e-122	0.847	0.939	0.819	UniRef:UniRef50_A0A4Z0PF67
contig_1	cds	110176	111792	+	BBGPBF_00107	940.0	0.0	0.994	0.845	0.856	UniRef:UniRef50_P77348
contig_1	cds	111960	112346	-	BBGPBF_00108	155.0	4.4e-48	0.977	0.887	0.616	UniRef:UniRef50_A0A1T4PNT9
contig_1	cds	112577	113410	+	BBGPBF_00109	513.0	1.0e-184	0.993	0.939	0.938	UniRef:UniRef50_A0A0H3GNI3
contig_1	cds	113535	114419	-	BBGPBF_00110	577.0	7.3e-209	0.993	0.844	0.997	UniRef:UniRef50_V2UHP0
contig_1	cds	114670	115728	+	BBGPBF_00111	703.0	2.3e-256	0.989	0.835	1.0	UniRef:UniRef50_Q65QI1
contig_1	cds	115801	117003	+	BBGPBF_00112	516.0	5.2e-182	0.963	0.965	0.706	UniRef:UniRef50_A0A2X4URE5
contig_1	cds	117082	117951	+	BBGPBF_00113	523.0	8.0e-188	1.0	0.920	0.882	UniRef:UniRef50_A0A066SX16
contig_1	cds	118137	118427	+	BBGPBF_00114	-	-	-	-	-	-
contig_1	cds	118988	119902	-	BBGPBF_00115	304.0	9.0e-101	0.957	0.817	0.553	UniRef:UniRef50_A0A0C7KC93
contig_1	cds	120011	120772	+	BBGPBF_00116	470.0	6.1e-168	0.984	0.856	0.992	UniRef:UniRef50_A0A0C7KGY6
contig_1	cds	120989	122521	+	BBGPBF_00117	705.0	5.8e-253	1.010	0.994	0.682	UniRef:UniRef50_A0A8B6ISY7
contig_1	cds	122720	123286	-	BBGPBF_00118	244.0	4.9e-81	0.989	0.873	0.613	UniRef:UniRef50_A0A0U5ERB1
contig_1	cds	123927	124418	+	BBGPBF_00119	313.0	2.1e-111	1.0	1.0	1.0	VFDB:VFG048632
contig_1	cds	124461	126005	+	BBGPBF_00120	1015.0	0.0	1.0	1.0	0.994	VFDB:VFG048643
contig_1	cds	126015	127358	+	BBGPBF_00121	884.0	0.0	1.0	1.0	0.993	VFDB:VFG048654
contig_1	cds	127355	128044	+	BBGPBF_00122	478.0	1.2e-174	1.0	1.0	0.996	VFDB:VFG048665
contig_1	cds	128041	129747	+	BBGPBF_00123	1101.0	0.0	1.0	1.0	0.982	VFDB:VFG048676
contig_1	cds	129752	130243	+	BBGPBF_00124	338.0	1.8e-121	1.0	1.0	1.0	BlastRules:WP_002902160
contig_1	cds	130508	133162	+	BBGPBF_00125	1697.0	0.0	1.0	1.0	0.993	VFDB:VFG048697
contig_1	cds	133155	135533	+	BBGPBF_00126	1182.0	0.0	0.918	0.993	0.818	UniRef:UniRef50_A0A1C4FRN5
contig_1	cds	135534	136313	+	BBGPBF_00127	520.0	4.3e-188	1.0	0.985	0.973	UniRef:UniRef50_A0A0H3GNR7
contig_1	cds	136377	136904	+	BBGPBF_00128	304.0	1.7e-107	1.006	1.0	0.824	BlastRules:WP_002902172
contig_1	cds	136972	137502	+	BBGPBF_00129	308.0	5.3e-109	1.0	1.0	0.858	BlastRules:WP_002902172
contig_1	cds	137570	138100	+	BBGPBF_00130	355.0	9.3e-128	1.0	1.0	0.972	BlastRules:WP_002902172
contig_1	cds	138088	140529	+	BBGPBF_00131	1576.0	0.0	0.958	0.820	0.997	UniRef:UniRef50_A0A485C5N1
contig_1	cds	140550	141098	+	BBGPBF_00132	323.0	7.6e-115	0.967	1.0	0.852	BlastRules:WP_002902172
contig_1	cds	141167	141697	+	BBGPBF_00133	333.0	4.6e-119	1.0	1.0	0.909	BlastRules:WP_002902172
contig_1	cds	141766	142296	+	BBGPBF_00134	333.0	4.6e-119	1.0	1.0	0.909	BlastRules:WP_002902172
contig_1	cds	142365	142895	+	BBGPBF_00135	308.0	3.7e-109	1.0	1.0	0.858	BlastRules:WP_002902172
contig_1	cds	142883	145336	+	BBGPBF_00136	1572.0	0.0	1.016	1.0	0.948	UniRef:UniRef50_A0A0H3FI96
contig_1	cds	145357	145614	+	BBGPBF_00137	-	-	-	-	-	-
contig_1	cds	145611	146735	+	BBGPBF_00138	-	-	-	-	-	-
contig_1	cds	146735	150163	+	BBGPBF_00139	2006.0	0.0	0.911	0.904	0.973	VFDB:VFG048755
contig_1	cds	150160	151752	+	BBGPBF_00140	638.0	1.1e-224	1.004	0.879	0.615	UniRef:UniRef50_H5UZ63
contig_1	cds	151832	153586	+	BBGPBF_00141	1176.0	0.0	1.0	1.0	0.988	VFDB:VFG048771
contig_1	cds	153550	154635	+	BBGPBF_00142	741.0	3.7e-274	1.0	1.0	0.997	VFDB:VFG048779
contig_1	cds	154613	155155	+	BBGPBF_00143	348.0	7.0e-125	1.0	1.0	1.0	VFDB:VFG048787
contig_1	cds	155282	155776	+	BBGPBF_00144	308.0	4.6e-107	1.0	0.820	0.957	UniRef:UniRef50_A0AAN1DX13
contig_1	cds	155843	156556	-	BBGPBF_00145	271.0	1.1e-89	1.0	0.835	0.578	UniRef:UniRef50_A0A177GCP5
contig_1	cds	156630	157223	+	BBGPBF_00146	231.0	1.8e-75	0.985	0.882	0.608	UniRef:UniRef50_G9ZWL4
contig_1	cds	157228	157983	-	BBGPBF_00147	365.0	2.0e-126	1.0	0.837	0.741	UniRef:UniRef50_H8L4P9
contig_1	cds	158142	159020	+	BBGPBF_00148	351.0	2.0e-119	0.959	0.807	0.646	UniRef:UniRef50_A0A331ZJK6
contig_1	cds	159071	159277	-	BBGPBF_00149	-	-	-	-	-	-
contig_1	cds	159303	160232	-	BBGPBF_00150	456.0	4.7e-161	0.994	0.994	0.746	UniRef:UniRef50_A0A8E1RSZ0
contig_1	cds	160371	161276	+	BBGPBF_00151	451.0	2.2e-159	0.977	0.925	0.748	UniRef:UniRef50_W9BGD1
contig_1	cds	161296	162219	-	BBGPBF_00152	575.0	6.9e-208	0.997	0.939	0.935	UniRef:UniRef50_A0A7H0EG21
contig_1	cds	162310	163176	+	BBGPBF_00153	584.0	1.3e-212	1.0	0.997	0.969	UniRef:UniRef50_A0A8I0DE41
contig_1	cds	163169	164080	+	BBGPBF_00154	581.0	4.0e-210	1.0	0.883	0.983	UniRef:UniRef50_A0A6P1PVH0
contig_1	cds	164135	164683	-	BBGPBF_00155	172.0	1.4e-52	0.956	0.806	0.540	UniRef:UniRef50_A0A9W6I0F4
contig_1	cds	164772	165791	+	BBGPBF_00156	452.0	2.2e-157	0.997	0.811	0.678	UniRef:UniRef50_A0A486NIC1
contig_1	cds	165836	167011	-	BBGPBF_00157	716.0	3.9e-261	0.918	0.876	0.997	UniRef:UniRef50_A0A080SXW2
contig_1	cds	167232	168038	+	BBGPBF_00158	456.0	1.4e-162	0.933	0.903	0.920	UniRef:UniRef50_A0A2X3ITW1
contig_1	cds	168035	169060	+	BBGPBF_00159	377.0	1.2e-128	0.979	0.910	0.584	UniRef:UniRef50_A0A378BEB9
contig_1	cds	169053	169721	+	BBGPBF_00160	243.0	9.4e-80	0.977	0.897	0.613	UniRef:UniRef50_S2XCZ2
contig_1	cds	169750	170949	-	BBGPBF_00161	585.0	1.1e-208	0.992	0.888	0.737	UniRef:UniRef50_A0A379LMP3
contig_1	cds	170988	171602	-	BBGPBF_00162	225.0	9.7e-73	0.971	0.811	0.556	UniRef:UniRef50_A0A0H3GNW1
contig_1	cds	171854	172333	-	BBGPBF_00163	166.0	2.8e-51	0.937	0.823	0.597	UniRef:UniRef50_D2BVY5
contig_1	cds	172668	174047	+	BBGPBF_00164	559.0	4.6e-196	1.013	0.879	0.617	UniRef:UniRef50_A0A0G3EUP7
contig_1	cds	174298	175044	+	BBGPBF_00165	413.0	7.1e-146	1.0	0.932	0.859	UniRef:UniRef50_A0A0H3GSK0
contig_1	cds	175157	175351	-	BBGPBF_00166	115.0	5.0e-34	1.0	0.970	0.797	UniRef:UniRef50_A0A0L0GK14
contig_1	cds	175588	176706	-	BBGPBF_00167	734.0	2.0e-268	1.0	0.879	0.997	UniRef:UniRef50_A0A486KVA6
contig_1	cds	176669	177412	-	BBGPBF_00168	360.0	2.4e-125	1.0	0.969	0.765	UniRef:UniRef50_A0A179PZQ9
contig_1	cds	177691	178674	+	BBGPBF_00169	541.0	1.4e-193	0.951	0.816	0.836	UniRef:UniRef50_P64423
contig_1	ncRNA	178770	178887	+	BBGPBF_00170	132.0	6.7e-23	-	-	-	RFAM:RF01796
contig_1	cds	179200	180573	+	BBGPBF_00171	489.0	9.0e-168	1.007	0.807	0.561	UniRef:UniRef50_A0A366I976
contig_1	cds	180619	181554	-	BBGPBF_00172	322.0	1.6e-108	0.804	0.880	0.564	UniRef:UniRef50_Q1QZ76
contig_1	cds	181788	182222	-	BBGPBF_00173	224.0	1.1e-74	1.0	0.857	0.764	UniRef:UniRef50_P37903
contig_1	cds	182304	182516	-	BBGPBF_00174	134.0	2.7e-41	0.929	0.878	0.969	UniRef:UniRef50_A8AGE3
contig_1	cds	182660	183814	-	BBGPBF_00175	726.0	1.3e-267	1.0	1.027	0.943	BlastRules:WP_119721401
contig_1	ncRNA	184034	184157	+	BBGPBF_00176	98.8	7.0e-16	-	-	-	RFAM:RF00121
contig_1	cds	184171	187698	-	BBGPBF_00177	1264.0	0.0	0.974	0.940	0.566	UniRef:UniRef50_A0A4R3I7Q4
contig_1	cds	188061	188324	+	BBGPBF_00178	-	-	-	-	-	-
contig_1	cds	188370	188810	-	BBGPBF_00179	170.0	3.3e-53	0.904	0.846	0.674	UniRef:UniRef50_A8AGE9
contig_1	cds	188933	189922	-	BBGPBF_00180	512.0	7.3e-182	0.997	0.868	0.771	UniRef:UniRef50_P52643
contig_1	cds	190070	190570	-	BBGPBF_00181	-	-	-	-	-	-
contig_1	cds	190777	193416	+	BBGPBF_00182	1260.0	0.0	0.998	0.981	0.682	UniRef:UniRef50_A0A0H3CKM4
contig_1	cds	193413	193598	+	BBGPBF_00183	70.9	1.7e-16	0.934	0.826	0.544	UniRef:UniRef50_B3QPI2
contig_1	cds	193606	193929	+	BBGPBF_00184	154.0	2.3e-48	1.0	0.947	0.757	UniRef:UniRef50_H5V5C9
contig_1	cds	193930	194832	-	BBGPBF_00185	381.0	1.7e-131	0.963	0.895	0.644	UniRef:UniRef50_Q47129
contig_1	cds	195068	196567	+	BBGPBF_00186	605.0	2.2e-213	0.988	0.939	0.631	UniRef:UniRef50_A0A0U5ESV1
contig_1	cds	196692	197582	+	BBGPBF_00187	299.0	8.8e-99	0.983	0.817	0.533	UniRef:UniRef50_P9WIL1
contig_1	cds	197659	198609	+	BBGPBF_00188	619.0	8.9e-225	1.0	0.913	0.984	UniRef:UniRef50_A0A3P8KLS1
contig_1	cds	198612	200879	-	BBGPBF_00189	1403.0	0.0	0.906	0.958	0.994	UniRef:UniRef50_A0A2N4YX98
contig_1	cds	201356	203401	-	BBGPBF_00190	1143.0	0.0	1.094	1.0	0.787	UniRef:UniRef50_P77455
contig_1	cds	203688	204617	+	BBGPBF_00191	597.0	7.9e-217	1.0	0.945	0.929	UniRef:UniRef50_A0A1Y6GI22
contig_1	cds	204629	204916	+	BBGPBF_00192	133.0	3.2e-40	0.947	0.811	0.611	UniRef:UniRef50_A0A7Y0A6X8
contig_1	cds	204924	205679	+	BBGPBF_00193	269.0	2.8e-89	0.980	0.969	0.541	UniRef:UniRef50_A0A1S2FW27
contig_1	cds	205691	206188	+	BBGPBF_00194	286.0	3.5e-99	0.818	1.0	0.963	UniRef:UniRef50_A0A377ZHK2
contig_1	cds	206196	207266	+	BBGPBF_00195	402.0	2.2e-137	1.0	0.854	0.584	UniRef:UniRef50_A0A9N8D430
contig_1	cds	207263	208030	+	BBGPBF_00196	261.0	3.8e-85	0.984	0.820	0.574	UniRef:UniRef50_Q1I9V4
contig_1	cds	208033	208821	+	BBGPBF_00197	322.0	3.1e-109	0.985	0.893	0.632	UniRef:UniRef50_C1A789
contig_1	cds	208825	210246	+	BBGPBF_00198	753.0	2.7e-274	0.829	0.949	0.974	UniRef:UniRef50_A0A3S4K9K8
contig_1	cds	210236	210658	+	BBGPBF_00199	134.0	2.7e-39	0.914	0.871	0.508	UniRef:UniRef50_A0A128F4A1
contig_1	cds	210658	211863	+	BBGPBF_00200	476.0	2.8e-166	1.007	1.0	0.611	UniRef:UniRef50_A0A1L9NX64
contig_1	cds	211890	213206	+	BBGPBF_00201	584.0	1.3e-206	0.977	0.861	0.675	UniRef:UniRef50_Q9L9C1
contig_1	cds	213309	214244	+	BBGPBF_00202	346.0	1.8e-117	0.987	0.916	0.554	UniRef:UniRef50_P76086
contig_1	cds	214254	214850	+	BBGPBF_00203	196.0	9.0e-62	0.990	0.883	0.515	UniRef:UniRef50_A0A376W173
contig_1	cds	214862	215269	+	BBGPBF_00204	181.0	6.3e-58	1.0	0.918	0.622	UniRef:UniRef50_Q6LL62
contig_1	cds	215306	215911	-	BBGPBF_00205	360.0	4.6e-129	1.0	1.0	0.900	BlastRules:WP_000048924
contig_1	cds	216116	220018	+	BBGPBF_00206	2378.0	0.0	0.999	0.998	0.910	UniRef:UniRef50_A0A960GL69
contig_1	cds	220079	220738	-	BBGPBF_00207	341.0	4.2e-118	0.995	0.829	0.771	UniRef:UniRef50_A7MEK1
contig_1	cds	220754	222133	-	BBGPBF_00208	449.0	5.6e-153	0.987	0.883	0.563	UniRef:UniRef50_A8AGG4
