#Annotated with Bakta v1.12.1, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	394852	395046	+	BBGPBF_00374	7.6	8.2		
contig_1	400556	401068	+	BBGPBF_00382	17.9	9.5		
contig_1	427685	427933	-	BBGPBF_00411	9.7	8.1		SO:0001217, UniRef:UniRef50_A0A0F1R5I5
contig_1	431042	431182	-	BBGPBF_00414	5.1	10.3		
contig_1	460725	460850	-	BBGPBF_00441	4.5	6.5		
contig_1	460869	461099	+	BBGPBF_00442	8.8	10.1		
contig_1	461226	461876	+	BBGPBF_00443	25.2	9.2		
contig_1	465562	466527	-	BBGPBF_00447	35.3	9.3		
contig_1	487132	488154	+	BBGPBF_00465	37.8	5.5	PF00356.27|LacI, PF00532.27|Peripla_BP_1, PF13377.12|Peripla_BP_3	PFAM:PF00356.27, PFAM:PF00532.27, PFAM:PF13377.12
contig_1	515431	515964	-	BBGPBF_00493	19.0	6.3		
contig_1	526283	526468	+	BBGPBF_00504	7.1	4.9		
contig_1	537375	537599	-	BBGPBF_00516	9.0	10.3		
contig_1	590525	591406	-	BBGPBF_00562	32.5	5.7	PF00126.33|HTH_1	PFAM:PF00126.33
contig_1	598691	598837	-	BBGPBF_00569	5.5	5.2		SO:0001217, UniRef:UniRef50_A0A0H3GY48
contig_1	600372	600467	-	BBGPBF_00573	3.5	4.4		
contig_1	603336	603518	-	BBGPBF_00576	6.4	10.8		
contig_1	604065	604280	-	BBGPBF_00578	7.9	6.7		
contig_1	607918	608769	+	BBGPBF_00582	30.8	6.7	PF00753.33|Lactamase_B	PFAM:PF00753.33
contig_1	608947	609087	+	BBGPBF_00583	5.3	10.6		
contig_1	625811	626068	+	BBGPBF_00597	9.1	4.4	PF00903.31|Glyoxalase	PFAM:PF00903.31
contig_1	690496	690669	-	BBGPBF_00657	6.5	9.6		
contig_1	699396	699494	-	BBGPBF_00667	3.7	5.8		
contig_1	702370	702495	+	BBGPBF_00670	4.6	12.0		
contig_1	727824	728009	-	BBGPBF_00695	6.7	6.5		SO:0001217, UniRef:UniRef50_A0A0H3GTL3
contig_1	741328	741585	-	BBGPBF_00710	10.4	10.4		SO:0001217, UniRef:UniRef50_A0A0H3GQQ6
contig_1	761243	761728	-	BBGPBF_00733	18.3	9.7	PF00165.29|HTH_AraC, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF12833.13
contig_1	777089	777238	-	BBGPBF_00752	5.5	11.1		
contig_1	782239	782922	+	BBGPBF_00760	25.4	6.7	PF00302.23|CAT	PFAM:PF00302.23
contig_1	790835	792367	-	BBGPBF_00769	53.2	9.4		
contig_1	803844	804323	+	BBGPBF_00779	17.5	5.1	PF01042.26|Ribonuc_L-PSP	PFAM:PF01042.26
contig_1	832719	833255	-	BBGPBF_00804	19.8	7.0	PF02016.21|Peptidase_S66	PFAM:PF02016.21
contig_1	834578	834967	-	BBGPBF_00805	14.4	8.5		SO:0001217, UniRef:UniRef50_K8A3B1
contig_1	836042	836614	-	BBGPBF_00806	20.4	11.7		
contig_1	898947	899585	+	BBGPBF_00865	24.2	6.7	PF00440.29|TetR_N, PF17938.6|TetR_C_29	PFAM:PF00440.29, PFAM:PF17938.6
contig_1	902046	902282	+	BBGPBF_00868	8.4	9.0	PF04728.18|LPP	PFAM:PF04728.18
contig_1	909438	909635	-	BBGPBF_00876	6.9	5.2		SO:0001217, UniRef:UniRef50_A0A1C4AID8
contig_1	919484	920482	+	BBGPBF_00885	36.4	6.2	PF01497.23|Peripla_BP_2	PFAM:PF01497.23
contig_1	926210	926530	+	BBGPBF_00891	11.2	6.3		SO:0001217, UniRef:UniRef50_A0A0H3GZE9
contig_1	938931	939395	-	BBGPBF_00902	17.4	9.9		
contig_1	954891	955124	-	BBGPBF_00918	7.9	6.2		SO:0001217, UniRef:UniRef50_A0A7W2Z7Q1
contig_2	998	1315	+	BBGPBF_00946	12.6	10.3		SO:0001217, UniRef:UniRef50_A0A1Y6GRF1
contig_2	9893	10291	-	BBGPBF_00955	13.6	9.0	PF00936.24|BMC	PFAM:PF00936.24
contig_2	16045	16311	-	BBGPBF_00959	10.0	5.3	PF03319.19|EutN_CcmL	PFAM:PF03319.19
contig_2	28146	28400	-	BBGPBF_00975	9.2	7.7		
contig_2	33268	33930	-	BBGPBF_00981	23.9	11.1		
contig_2	141979	142383	-	BBGPBF_01088	14.4	9.5		
contig_2	186718	187545	+	BBGPBF_01128	31.0	9.5	PF00226.36|DnaJ	PFAM:PF00226.36
contig_2	210081	210233	+	BBGPBF_01146	5.8	8.3		
contig_2	306373	307359	-	BBGPBF_01234	36.3	5.3	PF03934.19|T2SSK, PF21687.3|T2SSK_1st	PFAM:PF03934.19, PFAM:PF21687.3
contig_2	368094	368354	-	BBGPBF_01284	9.6	4.7		
contig_3	8697	8804	-	BBGPBF_01307	3.7	9.5		SO:0001217, UniRef:UniRef50_A0A0H3FKA9
contig_3	60947	61240	-	BBGPBF_01358	10.8	6.7		
contig_3	69327	69416	+	BBGPBF_01365	3.4	8.2		
contig_3	80286	80438	-	BBGPBF_01373	6.1	8.6		
contig_3	110042	111151	+	BBGPBF_01405	41.3	6.3		
contig_3	173327	174778	+	BBGPBF_01457	54.8	5.9		SO:0001217, UniRef:UniRef50_H2ITE6
contig_3	174818	175891	+	BBGPBF_01458	42.2	5.1		SO:0001217, UniRef:UniRef50_B7MT91
contig_3	181636	181896	+	BBGPBF_01463	9.2	8.8	PF05488.18|PAAR_motif	PFAM:PF05488.18
contig_3	182134	183096	+	BBGPBF_01464	36.6	5.4		SO:0001217, UniRef:UniRef50_C9Y3I8
contig_3	227595	227915	+	BBGPBF_01516	11.8	9.3		
contig_4	72	377	+	BBGPBF_01649	11.2	7.0		
contig_4	7296	8090	-	BBGPBF_01655	28.4	5.8	PF00106.31|adh_short, PF13561.12|adh_short_C2, PF23441.1|SDR	PFAM:PF00106.31, PFAM:PF13561.12, PFAM:PF23441.1
contig_4	49279	49368	+	BBGPBF_01700	3.3	4.1		
contig_4	100604	101428	+	BBGPBF_01749	30.2	6.3		
contig_4	114425	114715	-	BBGPBF_01765	11.3	4.5	PF06411.16|HdeA	PFAM:PF06411.16
contig_4	124027	124611	-	BBGPBF_01774	21.3	6.5	PF02288.20|Dehydratase_MU	PFAM:PF02288.20
contig_4	138976	139530	+	BBGPBF_01787	20.8	6.8	PF03551.20|PadR	PFAM:PF03551.20
contig_4	173669	173776	-	BBGPBF_01824	3.8	6.5		
contig_4	178568	178717	-	BBGPBF_01830	5.5	4.5		
contig_5	45061	45276	+	BBGPBF_01996	8.1	9.6		
contig_5	119329	119844	+	BBGPBF_02052	18.6	6.6	PF12883.13|DUF3828	PFAM:PF12883.13
contig_5	135538	135921	-	BBGPBF_02071	14.1	9.5		
contig_5	152315	152692	-	BBGPBF_02090	14.0	10.5		
contig_5	162395	162613	-	BBGPBF_02102	8.2	9.5		
contig_5	163144	163332	-	BBGPBF_02104	7.3	4.6		
contig_5	167584	167784	-	BBGPBF_02110	7.7	10.0		
contig_5	211087	211803	-	BBGPBF_02146	27.0	6.2	PF00392.27|GntR, PF07702.18|UTRA	PFAM:PF00392.27, PFAM:PF07702.18
contig_5	238647	239642	+	BBGPBF_02173	36.0	6.5	PF13533.12|Biotin_lipoyl_2, PF16576.10|HlyD_D23	PFAM:PF13533.12, PFAM:PF16576.10
contig_6	13442	13822	+	BBGPBF_02220	14.4	8.8	PF00174.25|Oxidored_molyb	PFAM:PF00174.25
contig_6	15966	16298	+	BBGPBF_02222	12.6	5.5	PF09313.17|DUF1971	PFAM:PF09313.17
contig_6	95855	97174	+	BBGPBF_02310	48.9	9.3	PF01476.26|LysM, PF01551.29|Peptidase_M23, PF04225.17|LysM_OapA, PF08525.16|OapA_N, PF19425.4|Csd3_N2, PF22310.2|NMB0315_dom_I	PFAM:PF01476.26, PFAM:PF01551.29, PFAM:PF04225.17, PFAM:PF08525.16, PFAM:PF19425.4, PFAM:PF22310.2
contig_6	106671	107018	+	BBGPBF_02318	12.6	4.7		
contig_6	112988	113179	-	BBGPBF_02328	7.0	8.7		
contig_6	136373	137344	-	BBGPBF_02351	34.9	5.9		
contig_6	197770	198576	+	BBGPBF_02405	27.9	7.0		
contig_6	203845	204498	+	BBGPBF_02412	24.4	5.7		
contig_6	206383	206478	+	BBGPBF_02414	3.4	4.3		
contig_6	211447	212226	+	BBGPBF_02417	30.2	7.6		SO:0001217, UniRef:UniRef50_A0A483LRX8
contig_6	219950	220996	+	BBGPBF_02422	39.0	6.7		
contig_6	224524	224853	+	BBGPBF_02427	11.5	5.8	PF08956.15|DUF1869	PFAM:PF08956.15, SO:0001217, UniRef:UniRef50_A0A223U9V7
contig_6	241257	241499	-	BBGPBF_02445	8.7	5.8	PF08980.16|DUF1883	PFAM:PF08980.16
contig_7	3966	4421	-	BBGPBF_02466	16.6	6.2		
contig_7	4601	4990	-	BBGPBF_02467	13.8	7.9		
contig_7	17364	18005	-	BBGPBF_02479	23.5	11.5		
contig_7	28800	29021	+	BBGPBF_02488	8.1	9.6		
contig_7	46884	47189	+	BBGPBF_02502	11.6	6.9		SO:0001217, UniRef:UniRef50_A0A0H3GP32
contig_7	120981	121196	-	BBGPBF_02574	8.2	7.8		
contig_7	122572	122883	+	BBGPBF_02578	11.5	9.8	PF01035.26|DNA_binding_1	PFAM:PF01035.26
contig_7	153705	154037	+	BBGPBF_02607	11.6	4.3		
contig_7	157496	157816	+	BBGPBF_02611	12.5	6.7	PF07978.19|NIPSNAP	PFAM:PF07978.19
contig_7	167053	167529	+	BBGPBF_02620	17.8	4.9		
contig_7	212719	213429	+	BBGPBF_02665	24.9	4.2		
contig_7	214878	215195	-	BBGPBF_02668	11.5	9.7	PF07769.19|PsiF_repeat	PFAM:PF07769.19
contig_7	258139	259023	+	BBGPBF_02710	32.9	10.1		
contig_8	2965	3285	-	BBGPBF_02712	11.9	11.0		SO:0001217, UniRef:UniRef50_A0A0K2YQR7
contig_8	4327	4449	-	BBGPBF_02714	4.7	9.4		
contig_8	66565	66915	-	BBGPBF_02770	13.1	10.1		
contig_8	87712	88503	+	BBGPBF_02791	28.8	9.1	PF00005.33|ABC_tran	PFAM:PF00005.33
contig_8	88491	88889	+	BBGPBF_02792	14.9	5.8	PF01402.27|RHH_1, PF08753.17|NikR_C	PFAM:PF01402.27, PFAM:PF08753.17
contig_8	130958	131146	-	BBGPBF_02822	7.1	5.6		
contig_8	132868	133065	+	BBGPBF_02824	7.6	11.6		
contig_8	153550	154734	-	BBGPBF_02839	41.3	5.5	PF00023.36|Ank, PF12796.13|Ank_2, PF13606.12|Ank_3, PF13637.12|Ank_4, PF13857.12|Ank_5	PFAM:PF00023.36, PFAM:PF12796.13, PFAM:PF13606.12, PFAM:PF13637.12, PFAM:PF13857.12
contig_8	177945	178247	-	BBGPBF_02862	11.2	8.6		
contig_8	179924	180295	-	BBGPBF_02865	13.7	9.4	PF05360.19|YiaAB	PFAM:PF05360.19
contig_8	189038	189601	-	BBGPBF_02872	21.3	10.0	PF01832.25|Glucosaminidase	PFAM:PF01832.25
contig_8	214705	215961	+	BBGPBF_02896	46.4	9.9	PF01551.29|Peptidase_M23	PFAM:PF01551.29
contig_8	223295	223945	+	BBGPBF_02904	24.6	9.5		
contig_8	223982	224203	+	BBGPBF_02905	8.5	5.7		
contig_9	81171	81266	+	BBGPBF_03002	3.6	10.8		
contig_9	81327	82028	+	BBGPBF_03003	26.9	9.2		
contig_9	82194	82493	+	BBGPBF_03004	11.6	11.2		
contig_9	129925	130233	-	BBGPBF_03053	11.0	7.0	PF17209.9|Hfq	PFAM:PF17209.9
contig_9	138270	139001	+	BBGPBF_03061	26.8	8.8	PF00497.25|SBP_bac_3	PFAM:PF00497.25
contig_9	152596	152787	-	BBGPBF_03074	6.5	5.6		
contig_9	152902	153033	-	BBGPBF_03075	4.4	9.3		
contig_9	161142	161507	+	BBGPBF_03083	12.1	4.1		
contig_10	2170	2349	-	BBGPBF_03102	6.8	9.5		
contig_10	53618	53821	+	BBGPBF_03152	8.2	6.4		
contig_10	65736	65921	+	BBGPBF_03165	6.8	5.0		
contig_10	79649	79822	+	BBGPBF_03176	6.9	11.3		
contig_10	85520	86152	-	BBGPBF_03181	24.1	11.1	PF00665.32|rve	PFAM:PF00665.32
contig_10	86504	86689	-	BBGPBF_03182	6.8	5.7		
contig_10	96989	97207	-	BBGPBF_03188	7.9	6.2		
contig_11	34723	35007	-	BBGPBF_03290	10.6	9.5	PF01386.24|Ribosomal_L25p	PFAM:PF01386.24
contig_11	39293	39637	+	BBGPBF_03294	12.5	4.9		
contig_11	150746	150886	-	BBGPBF_03385	5.7	11.0		
contig_12	62406	62633	-	BBGPBF_03466	8.3	6.0		
contig_12	74455	74901	+	BBGPBF_03478	16.9	5.2	PF08360.16|TetR_C_5, PF13977.11|TetR_C_6, PF16925.10|TetR_C_13, PF17922.6|TetR_C_17	PFAM:PF08360.16, PFAM:PF13977.11, PFAM:PF16925.10, PFAM:PF17922.6
contig_12	84617	85051	-	BBGPBF_03489	15.6	6.8		
contig_12	91656	92294	-	BBGPBF_03493	23.5	7.8	PF00440.29|TetR_N, PF08362.16|TetR_C_3	PFAM:PF00440.29, PFAM:PF08362.16
contig_12	98079	98228	+	BBGPBF_03501	5.1	5.3		SO:0001217, UniRef:UniRef50_A0A377ZY55
contig_12	116567	117691	+	BBGPBF_03520	42.7	5.4	PF00355.32|Rieske, PF00848.25|Ring_hydroxyl_A	PFAM:PF00355.32, PFAM:PF00848.25
contig_12	125432	126220	-	BBGPBF_03530	29.5	10.0	PF00165.29|HTH_AraC, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF12833.13
contig_13	17191	17559	-	BBGPBF_03558	14.5	5.0		
contig_13	41504	42043	-	BBGPBF_03577	18.4	4.4	PF00419.26|Fimbrial	PFAM:PF00419.26
contig_13	52571	53428	-	BBGPBF_03589	31.7	9.9		
contig_13	102836	103291	+	BBGPBF_03634	16.2	6.1	PF00132.30|Hexapep, PF14602.12|Hexapep_2	PFAM:PF00132.30, PFAM:PF14602.12
contig_14	25002	25205	-	BBGPBF_03677	7.5	5.2	PF03621.18|MbtH	PFAM:PF03621.18
contig_14	28996	29619	+	BBGPBF_03680	23.1	7.8	PF01648.25|ACPS, PF17837.6|4PPT_N	PFAM:PF01648.25, PFAM:PF17837.6
contig_14	68146	68865	+	BBGPBF_03715	26.5	9.9	PF09992.14|NAGPA	PFAM:PF09992.14
contig_14	76378	76488	+	BBGPBF_03719	4.0	10.2		SO:0001217, UniRef:UniRef50_E3G5E0
contig_14	79192	79560	+	BBGPBF_03724	14.3	8.6		
contig_14	107345	107530	-	BBGPBF_03748	6.3	10.9		
contig_15	264	380	+	BBGPBF_03760	4.4	10.4		
contig_15	82713	82802	-	BBGPBF_03837	3.3	8.3		
contig_16	66868	68235	-	BBGPBF_03920	48.2	8.9		
contig_17	10568	11314	-	BBGPBF_03966	26.4	7.6		
contig_17	23725	23904	-	BBGPBF_03980	6.4	4.4		SO:0001217, UniRef:UniRef50_A0A0H3GWH4
contig_17	25073	25537	-	BBGPBF_03982	15.7	5.6	PF00581.25|Rhodanese	PFAM:PF00581.25
contig_17	60266	60697	+	BBGPBF_04013	16.3	7.8	PF00126.33|HTH_1	PFAM:PF00126.33
contig_18	40703	41257	-	BBGPBF_04094	20.0	5.2	PF10531.15|SLBB	PFAM:PF10531.15
contig_18	43651	43932	-	BBGPBF_04097	10.7	9.2		
contig_18	71246	71452	+	BBGPBF_04120	8.0	9.1		
contig_18	78509	78913	-	BBGPBF_04128	15.7	8.7		
contig_18	80162	81052	+	BBGPBF_04130	34.6	9.1		SO:0001217, UniRef:UniRef50_A0A483ZFK9
contig_18	82581	82901	+	BBGPBF_04132	12.1	9.7		
contig_18	88191	88652	-	BBGPBF_04138	17.7	7.1		
contig_19	38287	38646	-	BBGPBF_04174	13.3	9.9		
contig_19	80931	81317	-	BBGPBF_04217	13.7	4.7		
contig_19	85240	85524	-	BBGPBF_04220	10.2	4.1		
contig_20	12271	12807	-	BBGPBF_04235	19.0	5.1		
contig_20	69104	70102	+	BBGPBF_04293	37.5	5.7	PF04909.20|Amidohydro_2	PFAM:PF04909.20
contig_21	22166	22345	-	BBGPBF_04331	6.7	5.0		
contig_21	24273	24458	+	BBGPBF_04333	6.3	9.7		
contig_21	29065	29262	-	BBGPBF_04339	7.4	6.1		SO:0001217, UniRef:UniRef50_A0A0H3GMZ3
contig_21	29638	29742	+	BBGPBF_04340	4.1	8.3		
contig_21	42089	42190	-	BBGPBF_04351	3.4	8.3		
contig_21	44134	44643	-	BBGPBF_04355	17.9	7.7		SO:0001217, UniRef:UniRef50_D1NYR2
contig_22	129	743	+	BBGPBF_04387	22.7	5.4	PF13714.12|PEP_mutase	PFAM:PF13714.12
contig_22	13027	13773	+	BBGPBF_04398	27.9	5.6	PF00175.26|NAD_binding_1, PF00970.30|FAD_binding_6	PFAM:PF00175.26, PFAM:PF00970.30
contig_22	61835	62125	+	BBGPBF_04443	10.5	9.0		
contig_23	15655	16659	-	BBGPBF_04468	35.2	9.7		
contig_24	2810	2986	-	BBGPBF_04526	6.6	7.8		
contig_24	40891	40992	+	BBGPBF_04560	4.1	8.8		
contig_25	3680	4237	-	BBGPBF_04590	22.2	5.6		SO:0001217, UniRef:UniRef50_A9MHM8
contig_25	5600	6856	-	BBGPBF_04592	46.1	5.3	PF04717.18|Phage_base_V	PFAM:PF04717.18
contig_25	16667	16774	-	BBGPBF_04602	4.2	8.1		
contig_25	17011	17160	-	BBGPBF_04603	5.3	4.5		
contig_25	24021	24464	-	BBGPBF_04607	16.4	5.4		SO:0001217, UniRef:UniRef50_A0A3L5LYV9
contig_25	30685	30849	-	BBGPBF_04611	6.1	6.8		
contig_25	33936	35285	-	BBGPBF_04615	50.6	4.9		
contig_25	39669	40577	-	BBGPBF_04620	34.1	5.4	PF00126.33|HTH_1	PFAM:PF00126.33
contig_26	52244	52360	+	BBGPBF_04685	4.2	5.5		
contig_27	637	861	+	BBGPBF_04696	8.3	9.5		
contig_27	9676	9774	-	BBGPBF_04703	3.9	4.9		
contig_27	15261	16169	-	BBGPBF_04710	34.9	8.4		SO:0001217, UniRef:UniRef50_A0A828NVJ2
contig_27	28022	29536	-	BBGPBF_04715	58.5	6.5		
contig_27	30525	30764	+	BBGPBF_04717	8.9	9.4		
contig_27	31657	31797	-	BBGPBF_04719	5.3	6.5		
contig_27	31952	32212	+	BBGPBF_04720	9.9	9.4		
contig_28	3213	3578	-	BBGPBF_04735	12.2	4.7		
contig_28	32199	32705	+	BBGPBF_04766	19.2	6.1		
contig_28	37890	38000	-	BBGPBF_04770	3.7	6.0		
contig_29	8587	8967	-	BBGPBF_04778	14.2	8.3		
contig_29	13386	13619	-	BBGPBF_04782	8.9	6.6	PF13974.11|YebO	PFAM:PF13974.11
contig_29	22904	23563	+	BBGPBF_04796	25.2	7.6		SO:0001217, UniRef:UniRef50_A0AAW9ULU3
contig_29	34015	34149	+	BBGPBF_04812	5.2	4.8		
contig_29	35215	35598	+	BBGPBF_04814	14.1	5.0		
contig_29	36110	36913	+	BBGPBF_04816	29.7	5.6		
contig_30	19208	19408	-	BBGPBF_04835	7.4	4.3	PF02597.26|ThiS	PFAM:PF02597.26
contig_30	27890	28327	-	BBGPBF_04846	16.0	9.5		
contig_31	11885	12070	-	BBGPBF_04860	7.0	5.7		
contig_33	7881	8054	+	BBGPBF_04933	6.8	5.0		
contig_33	17299	17529	+	BBGPBF_04941	8.4	10.2		SO:0001217, UniRef:UniRef50_A0AB37VD30
contig_33	20044	20271	+	BBGPBF_04945	8.3	6.2		
contig_33	22048	22611	+	BBGPBF_04949	21.1	8.8	PF05175.20|MTS	PFAM:PF05175.20
contig_34	1558	2091	-	BBGPBF_04951	19.8	5.4	PF13508.13|Acetyltransf_7, PF13673.13|Acetyltransf_10	PFAM:PF13508.13, PFAM:PF13673.13
contig_37	64	732	+	BBGPBF_04985	24.0	4.8	PF00106.31|adh_short, PF13561.12|adh_short_C2	PFAM:PF00106.31, PFAM:PF13561.12
