locus_tag	ftype	length_bp	gene	EC_number	COG	product
MFCJNMFM_00027	CDS	924	dsdC_1		COG0583	HTH-type transcriptional regulator DsdC
MFCJNMFM_00028	CDS	1185	emrD		COG2814	Multidrug resistance protein D
MFCJNMFM_00029	CDS	834				hypothetical protein
MFCJNMFM_00030	CDS	447				hypothetical protein
MFCJNMFM_00031	CDS	90				hypothetical protein
MFCJNMFM_00032	CDS	96				hypothetical protein
MFCJNMFM_00033	CDS	1689	ilvB_1	2.2.1.6	COG0028	Acetolactate synthase isozyme 1 large subunit
MFCJNMFM_00034	CDS	288	ilvN	2.2.1.6	COG0440	Acetolactate synthase isozyme 1 small subunit
MFCJNMFM_00035	CDS	594	uhpA		COG2197	Transcriptional regulatory protein UhpA
MFCJNMFM_00036	CDS	1503	uhpB	2.7.13.3	COG3851	Signal transduction histidine-protein kinase/phosphatase UhpB
MFCJNMFM_00037	CDS	1329	uhpC		COG2271	Membrane sensor protein UhpC
MFCJNMFM_00038	CDS	1392	uhpT			hexose phosphate transporter UhpT
MFCJNMFM_00039	CDS	453				hypothetical protein
MFCJNMFM_00040	CDS	324				hypothetical protein
MFCJNMFM_00041	CDS	360				hypothetical protein
MFCJNMFM_00042	CDS	1194	nepI_1		COG2814	Purine ribonucleoside efflux pump NepI
MFCJNMFM_00043	CDS	810	phnX	3.11.1.1		Phosphonoacetaldehyde hydrolase
MFCJNMFM_00044	CDS	1104	phnW	2.6.1.37		2-aminoethylphosphonate--pyruvate transaminase
MFCJNMFM_00045	CDS	720	phnR			Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons
MFCJNMFM_00046	CDS	1014	phnS			Putative 2-aminoethylphosphonate-binding periplasmic protein
MFCJNMFM_00047	CDS	1113	phnT			Putative 2-aminoethylphosphonate import ATP-binding protein PhnT
MFCJNMFM_00048	CDS	861	phnU			Putative 2-aminoethylphosphonate transport system permease protein PhnU
MFCJNMFM_00049	CDS	798	phnV			Putative 2-aminoethylphosphonate transport system permease protein PhnV
MFCJNMFM_00050	CDS	1380	lamB_1			Maltoporin
MFCJNMFM_00051	CDS	303	chbA_1		COG1447	PTS system N,N'-diacetylchitobiose-specific EIIA component
MFCJNMFM_00052	CDS	1323	licC_1		COG1455	Lichenan permease IIC component
MFCJNMFM_00053	CDS	315	celA_1	2.7.1.205		PTS system cellobiose-specific EIIB component
MFCJNMFM_00054	CDS	945			COG1609	HTH-type transcriptional regulator
MFCJNMFM_00055	CDS	1371	pcaK_1		COG2814	4-hydroxybenzoate transporter PcaK
MFCJNMFM_00056	CDS	1263	galA	1.13.11.57	COG3384	Gallate dioxygenase
MFCJNMFM_00057	CDS	1227	hdfR_1			HTH-type transcriptional regulator HdfR
MFCJNMFM_00058	CDS	741	galB	4.2.1.83	COG2120	4-oxalmesaconate hydratase
MFCJNMFM_00059	CDS	714	galC	4.1.3.17	COG0684	4-carboxy-4-hydroxy-2-oxoadipic acid aldolase
MFCJNMFM_00060	CDS	1086	galD	5.3.2.8	COG2828	4-oxalomesaconate tautomerase
MFCJNMFM_00061	CDS	864				hypothetical protein
MFCJNMFM_00062	CDS	291				hypothetical protein
MFCJNMFM_00063	CDS	903	yicL		COG0697	putative inner membrane transporter YicL
MFCJNMFM_00064	CDS	1434	murP		COG1263	PTS system N-acetylmuramic acid-specific EIIBC component
MFCJNMFM_00065	CDS	903	murQ_1	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
MFCJNMFM_00066	CDS	1164	bcr_1		COG2814	Bicyclomycin resistance protein
MFCJNMFM_00067	CDS	1365	oprM_1			Outer membrane protein OprM
MFCJNMFM_00068	CDS	3108	adeE			multidrug efflux RND transporter permease subunit AdeE
MFCJNMFM_00069	CDS	1125	mexA			Multidrug resistance protein MexA
MFCJNMFM_00070	CDS	417		2.3.1.-	COG0454	Acetyltransferase
MFCJNMFM_00071	CDS	486				hypothetical protein
MFCJNMFM_00072	CDS	648	betI_1			HTH-type transcriptional regulator BetI
MFCJNMFM_00073	CDS	1494	mdtP		COG0477	Multidrug transporter protein MdtP
MFCJNMFM_00074	CDS	915	aaeR_1		COG0583	HTH-type transcriptional activator AaeR
MFCJNMFM_00075	CDS	627				hypothetical protein
MFCJNMFM_00076	CDS	471				hypothetical protein
MFCJNMFM_00077	CDS	537				hypothetical protein
MFCJNMFM_00078	CDS	906	mtrA			HTH-type transcriptional regulator MtrA
MFCJNMFM_00079	CDS	810	nlpA		COG1464	Lipoprotein 28
MFCJNMFM_00080	CDS	855				hypothetical protein
MFCJNMFM_00081	CDS	561	rppH_1	3.6.1.-		RNA pyrophosphohydrolase
MFCJNMFM_00082	CDS	780				hypothetical protein
MFCJNMFM_00083	CDS	954	cdhR			HTH-type transcriptional regulator CdhR
MFCJNMFM_00084	CDS	1050	yahK	1.1.1.2	COG1064	Aldehyde reductase YahK
MFCJNMFM_00085	CDS	108				hypothetical protein
MFCJNMFM_00086	CDS	699	iprA_1			Inhibitor of hydrogen peroxide resistance
MFCJNMFM_00087	CDS	291	ycnE	1.-.-.-	COG1359	Putative monooxygenase YcnE
MFCJNMFM_00088	CDS	1008				Zinc-type alcohol dehydrogenase-like protein
MFCJNMFM_00089	CDS	468				hypothetical protein
MFCJNMFM_00090	tRNA	95				tRNA-SeC(tca)
MFCJNMFM_00091	CDS	1395	yicJ_1		COG2211	Inner membrane symporter YicJ
MFCJNMFM_00092	CDS	2319	yicI	3.2.1.177	COG1501	Alpha-xylosidase
MFCJNMFM_00093	CDS	723				hypothetical protein
MFCJNMFM_00094	CDS	1380	bglT	3.2.1.86	COG1486	6-phospho-beta-glucosidase BglT
MFCJNMFM_00095	CDS	1560	malP_2		COG1263	PTS system maltose-specific EIICB component
MFCJNMFM_00096	CDS	1716				hypothetical protein
MFCJNMFM_00097	CDS	1392	xanP_1		COG2233	Xanthine permease XanP
MFCJNMFM_00098	CDS	1203	gltS		COG0786	Sodium/glutamate symporter
MFCJNMFM_00099	CDS	1512	glpK	2.7.1.30	COG0554	Glycerol kinase
MFCJNMFM_00100	CDS	852	glpF_1		COG0580	Glycerol uptake facilitator protein
MFCJNMFM_00101	CDS	240	zapB		COG3074	Cell division protein ZapB
MFCJNMFM_00102	CDS	990	sbp		COG1613	Sulfate-binding protein
MFCJNMFM_00103	CDS	765	cdh	3.6.1.26	COG2134	CDP-diacylglycerol pyrophosphatase
MFCJNMFM_00104	CDS	1305				hypothetical protein
MFCJNMFM_00105	CDS	768	tpiA	5.3.1.1		Triosephosphate isomerase
MFCJNMFM_00106	CDS	603				hypothetical protein
MFCJNMFM_00107	CDS	429				hypothetical protein
MFCJNMFM_00108	CDS	747	fpr	1.18.1.2	COG1018	Flavodoxin/ferredoxin--NADP reductase
MFCJNMFM_00109	CDS	1011	glpX	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase 1 class 2
MFCJNMFM_00110	CDS	2082	recG	5.6.2.4	COG1200	ATP-dependent DNA helicase RecG
MFCJNMFM_00111	CDS	690	trmH	2.1.1.34	COG0566	tRNA (guanosine(18)-2'-O)-methyltransferase
MFCJNMFM_00112	CDS	2121	spoT		COG0317	Bifunctional (p)ppGpp synthase/hydrolase SpoT
MFCJNMFM_00113	CDS	276	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
MFCJNMFM_00114	CDS	624	gmk	2.7.4.8	COG0194	Guanylate kinase
MFCJNMFM_00115	CDS	1677	ligB	6.5.1.2	COG0272	DNA ligase B
MFCJNMFM_00116	CDS	618				hypothetical protein
MFCJNMFM_00117	CDS	1251	clcB_1			Voltage-gated ClC-type chloride channel ClcB
MFCJNMFM_00118	CDS	1059	ada_1		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
MFCJNMFM_00119	CDS	1263				IS1380 family transposase ISEcp1
MFCJNMFM_00120	CDS	123				hypothetical protein
MFCJNMFM_00121	CDS	876	bla_1	3.5.2.6		Beta-lactamase CTX-M-15
MFCJNMFM_00122	CDS	321				hypothetical protein
MFCJNMFM_00123	CDS	2550				Tn3 family transposase Tn2
MFCJNMFM_00124	CDS	705				IS6 family transposase IS26
MFCJNMFM_00125	CDS	1434	ecoRIIM	2.1.1.37		Type II methyltransferase M.EcoRII
MFCJNMFM_00126	CDS	882				IS3 family transposase ISEcl1
MFCJNMFM_00127	CDS	396				IS3 family transposase ISEcl1
MFCJNMFM_00128	CDS	1062	ecoRIIR	3.1.21.4		Type II restriction enzyme EcoRII
MFCJNMFM_00129	CDS	765				IS6 family transposase IS6100
MFCJNMFM_00130	CDS	1014	xerC_1			Tyrosine recombinase XerC
MFCJNMFM_00131	CDS	705				IS6 family transposase IS26
MFCJNMFM_00132	CDS	849				IS3 family transposase ISKpn11
MFCJNMFM_00133	CDS	312				IS3 family transposase ISKpn11
MFCJNMFM_00134	CDS	543	tmrB		COG1660	Tunicamycin resistance protein
MFCJNMFM_00135	CDS	861	aac3-Vb	2.3.1.81		Aminoglycoside N(3)-acetyltransferase III
MFCJNMFM_00136	CDS	705				IS6 family transposase IS26
MFCJNMFM_00137	CDS	600	aacA4	2.3.1.82		Aminoglycoside N(6')-acetyltransferase type 1
MFCJNMFM_00138	CDS	831	OXA-1	3.5.2.6		Beta-lactamase OXA-1
MFCJNMFM_00139	CDS	549	cat	2.3.1.28		Chloramphenicol acetyltransferase
MFCJNMFM_00140	CDS	705				IS6 family transposase IS26
MFCJNMFM_00141	CDS	1530				Tn3 family transposase TnAs1
MFCJNMFM_00142	CDS	678	tetR			Tetracycline repressor protein class A from transposon 1721
MFCJNMFM_00143	CDS	1200	tetA			Tetracycline resistance protein, class C
MFCJNMFM_00144	CDS	885				hypothetical protein
MFCJNMFM_00145	CDS	822				Tn3 family transposase TnAs1
MFCJNMFM_00146	CDS	606	pinR	3.1.22.-	COG1961	Serine recombinase PinR
MFCJNMFM_00147	CDS	2898				Tn3 family transposase
MFCJNMFM_00148	CDS	1836				Tn3 family transposase IS3000
MFCJNMFM_00149	CDS	387	pspF_1		COG1221	Psp operon transcriptional activator
MFCJNMFM_00150	CDS	645			COG1357	Pentapeptide repeat protein
MFCJNMFM_00151	CDS	669	yghA_1	1.-.-.-	COG1028	putative oxidoreductase YghA
MFCJNMFM_00152	CDS	705				IS6 family transposase IS26
MFCJNMFM_00153	CDS	564				hypothetical protein
MFCJNMFM_00154	CDS	1356				hypothetical protein
MFCJNMFM_00155	CDS	231				hypothetical protein
MFCJNMFM_00156	CDS	228				hypothetical protein
MFCJNMFM_00157	CDS	318				hypothetical protein
MFCJNMFM_00158	CDS	255				hypothetical protein
MFCJNMFM_00159	CDS	426	klcA_1			Antirestriction protein KlcA
MFCJNMFM_00160	CDS	231				hypothetical protein
MFCJNMFM_00161	CDS	1434				hypothetical protein
MFCJNMFM_00162	CDS	426	umuD_1	3.4.21.-		Protein UmuD
MFCJNMFM_00163	CDS	1272	umuC_1		COG0389	Protein UmuC
MFCJNMFM_00164	CDS	252				hypothetical protein
MFCJNMFM_00165	CDS	570				hypothetical protein
MFCJNMFM_00166	CDS	348				hypothetical protein
MFCJNMFM_00167	CDS	705				IS6 family transposase IS26
MFCJNMFM_00168	CDS	864	yicC	3.1.26.-	COG1561	Endoribonuclease YicC
MFCJNMFM_00169	CDS	1701				hypothetical protein
MFCJNMFM_00170	CDS	966				hypothetical protein
MFCJNMFM_00171	CDS	918	ybhF_1		COG1131	putative multidrug ABC transporter ATP-binding protein YbhF
MFCJNMFM_00172	CDS	1095	ybhR_1		COG0842	putative multidrug ABC transporter permease YbhR
MFCJNMFM_00173	CDS	717	rph	2.7.7.56		Ribonuclease PH
MFCJNMFM_00174	CDS	642	pyrE	2.4.2.10		Orotate phosphoribosyltransferase
MFCJNMFM_00175	CDS	597	slmA			Nucleoid occlusion factor SlmA
MFCJNMFM_00176	CDS	459	dut	3.6.1.23	COG0756	Deoxyuridine 5'-triphosphate nucleotidohydrolase
MFCJNMFM_00177	CDS	1218	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
MFCJNMFM_00178	CDS	666				hypothetical protein
MFCJNMFM_00179	CDS	237	rpmB		COG0227	Large ribosomal subunit protein bL28
MFCJNMFM_00180	CDS	168	rpmG		COG0267	Large ribosomal subunit protein bL33
MFCJNMFM_00181	CDS	810	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
MFCJNMFM_00182	CDS	480	coaD	2.7.7.3		Phosphopantetheine adenylyltransferase
MFCJNMFM_00183	CDS	777				hypothetical protein
MFCJNMFM_00184	CDS	1275	waaA	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
MFCJNMFM_00185	CDS	990				hypothetical protein
MFCJNMFM_00186	CDS	1095	pglJ	2.4.1.291	COG0438	N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase
MFCJNMFM_00187	CDS	1128	waaG	2.4.1.-	COG0438	Lipopolysaccharide glucosyltransferase WaaG
MFCJNMFM_00188	CDS	1077	waaQ	2.4.99.25	COG0859	Lipopolysaccharide heptosyltransferase 3
MFCJNMFM_00189	CDS	963				hypothetical protein
MFCJNMFM_00190	CDS	1080				hypothetical protein
MFCJNMFM_00191	CDS	1170				hypothetical protein
MFCJNMFM_00192	CDS	909				hypothetical protein
MFCJNMFM_00193	CDS	972	waaC	2.4.99.23		Lipopolysaccharide heptosyltransferase 1
MFCJNMFM_00194	CDS	1020	waaF	2.4.99.24	COG0859	Lipopolysaccharide heptosyltransferase 2
MFCJNMFM_00195	CDS	933	hldD	5.1.3.20	COG0451	ADP-L-glycero-D-manno-heptose-6-epimerase
MFCJNMFM_00196	CDS	1194	kbl	2.3.1.29	COG0156	2-amino-3-ketobutyrate coenzyme A ligase
MFCJNMFM_00197	CDS	1026	tdh	1.1.1.103	COG1063	L-threonine 3-dehydrogenase
MFCJNMFM_00198	CDS	789				hypothetical protein
MFCJNMFM_00199	CDS	948				hypothetical protein
MFCJNMFM_00200	CDS	1257	envC		COG4942	Murein hydrolase activator EnvC
MFCJNMFM_00201	CDS	1545	gpmI	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
MFCJNMFM_00202	CDS	432	yibN		COG0607	putative protein YibN
MFCJNMFM_00203	CDS	252	grxC		COG0695	Glutaredoxin 3
MFCJNMFM_00204	CDS	468	secB		COG1952	Protein-export protein SecB
MFCJNMFM_00205	CDS	1020	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
MFCJNMFM_00206	CDS	822	cysE	2.3.1.30		Serine acetyltransferase
MFCJNMFM_00207	CDS	474	trmL_1	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
MFCJNMFM_00208	CDS	1185	lldD_1	1.1.-.-	COG1304	L-lactate dehydrogenase
MFCJNMFM_00209	CDS	774	lldR_1		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
MFCJNMFM_00210	CDS	1656	lldP		COG1620	L-lactate permease
MFCJNMFM_00211	CDS	363	yibL			putative protein YibL
MFCJNMFM_00212	CDS	225	glgS_1			Surface composition regulator
MFCJNMFM_00213	CDS	597	mtlR		COG3722	Mannitol operon repressor
MFCJNMFM_00214	CDS	1149	mtlD	1.1.1.17	COG0246	Mannitol-1-phosphate 5-dehydrogenase
MFCJNMFM_00215	CDS	1908	mtlA		COG2213	PTS system mannitol-specific EIICBA component
MFCJNMFM_00216	CDS	369	yiaW_1			Inner membrane protein YiaW
MFCJNMFM_00217	CDS	1137	yibH_1		COG1566	Inner membrane protein YibH
MFCJNMFM_00218	CDS	609	yibF		COG0625	putative GST-like protein YibF
MFCJNMFM_00219	CDS	1389	selA	2.9.1.1	COG1921	L-seryl-tRNA(Sec) selenium transferase
MFCJNMFM_00220	CDS	1842	selB		COG3276	Selenocysteine-specific elongation factor
MFCJNMFM_00221	CDS	486	aegA_1		COG0493	Putative oxidoreductase AegA
MFCJNMFM_00222	CDS	1257	avtA	2.6.1.66	COG3977	Valine--pyruvate aminotransferase
MFCJNMFM_00223	CDS	2034	malS	3.2.1.1	COG0366	Periplasmic alpha-amylase
MFCJNMFM_00224	CDS	564				hypothetical protein
MFCJNMFM_00225	CDS	1179	xylR		COG1609	Xylose operon regulatory protein
MFCJNMFM_00226	CDS	1182	xylH		COG4214	Xylose transport system permease protein XylH
MFCJNMFM_00227	CDS	1542	xylG_1	7.5.2.10	COG1129	Xylose import ATP-binding protein XylG
MFCJNMFM_00228	CDS	996	xylF		COG4213	D-xylose-binding periplasmic protein
MFCJNMFM_00229	CDS	1323	xylA_1	5.3.1.5	COG2115	Xylose isomerase
MFCJNMFM_00230	CDS	1455	xylB_1	2.7.1.17	COG1070	Xylulose kinase
MFCJNMFM_00231	CDS	372	yiaB		COG4682	Inner membrane protein YiaB
MFCJNMFM_00232	CDS	444	yiaA		COG4682	Inner membrane protein YiaA
MFCJNMFM_00233	CDS	996	wecH	2.3.1.-	COG3274	O-acetyltransferase WecH
MFCJNMFM_00234	CDS	303				hypothetical protein
MFCJNMFM_00235	CDS	912	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
MFCJNMFM_00236	CDS	2070	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
MFCJNMFM_00237	CDS	213				hypothetical protein
MFCJNMFM_00238	CDS	141				hypothetical protein
MFCJNMFM_00239	CDS	1113			COG3385	IS4 family transposase IS421
MFCJNMFM_00240	CDS	1620	ettA_1	3.6.1.-	COG0488	Energy-dependent translational throttle protein EttA
MFCJNMFM_00241	CDS	213	cspA		COG1278	Cold shock protein CspA
MFCJNMFM_00242	CDS	291				hypothetical protein
MFCJNMFM_00243	CDS	1356	pcaK_2		COG2814	4-hydroxybenzoate transporter PcaK
MFCJNMFM_00244	CDS	711				hypothetical protein
MFCJNMFM_00245	CDS	972	ghrB	1.1.1.79	COG1052	Glyoxylate/hydroxypyruvate reductase B
MFCJNMFM_00246	CDS	1281	ttuB_1			Putative tartrate transporter
MFCJNMFM_00247	CDS	936	kdgK_1	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
MFCJNMFM_00248	CDS	750				hypothetical protein
MFCJNMFM_00249	CDS	1017	ptxS			HTH-type transcriptional regulator PtxS
MFCJNMFM_00250	CDS	663	yiaD		COG2885	putative lipoprotein YiaD
MFCJNMFM_00251	CDS	2331	bisC	1.-.-.-	COG0243	Biotin sulfoxide reductase
MFCJNMFM_00252	CDS	441	yiaC	2.3.1.-	COG0456	Peptidyl-lysine N-acetyltransferase YiaC
MFCJNMFM_00253	CDS	582	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
MFCJNMFM_00254	CDS	645				hypothetical protein
MFCJNMFM_00255	CDS	1206	yhjX		COG2223	putative MFS-type transporter YhjX
MFCJNMFM_00256	CDS	1674	eptB	2.7.8.42	COG2194	Kdo(2)-lipid A phosphoethanolamine 7''-transferase
MFCJNMFM_00257	CDS	1185				hypothetical protein
MFCJNMFM_00258	tRNA	77				tRNA-Pro(cgg)
MFCJNMFM_00259	CDS	1608	dppA_1		COG0747	Dipeptide-binding protein
MFCJNMFM_00260	CDS	1020	dppB_1		COG0601	Dipeptide transport system permease protein DppB
MFCJNMFM_00261	CDS	903	dppC		COG1173	Dipeptide transport system permease protein DppC
MFCJNMFM_00262	CDS	984	dppD_1	7.4.2.9	COG0444	Dipeptide transport ATP-binding protein DppD
MFCJNMFM_00263	CDS	1014	dppF_1	7.4.2.9	COG4608	Dipeptide transport ATP-binding protein DppF
MFCJNMFM_00264	CDS	540				hypothetical protein
MFCJNMFM_00265	CDS	804	bcsQ_1			Cellulose biosynthesis protein BcsQ
MFCJNMFM_00266	CDS	2034	acsAB			Cellulose synthase 1
MFCJNMFM_00267	CDS	2436	bcsB_1		COG1215	Cyclic di-GMP-binding protein
MFCJNMFM_00268	CDS	4053	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
MFCJNMFM_00269	CDS	477				hypothetical protein
MFCJNMFM_00270	CDS	1002		3.2.1.4		Endoglucanase
MFCJNMFM_00271	CDS	1680	bcsG			Cellulose biosynthesis protein BcsG
MFCJNMFM_00272	CDS	198	bcsF			Cellulose biosynthesis protein BcsF
MFCJNMFM_00273	CDS	1554	bcsE			Cyclic di-GMP binding protein BcsE
MFCJNMFM_00274	CDS	189	yhjR			Protein YhjR
MFCJNMFM_00275	CDS	732	bcsQ_2			Cellulose biosynthesis protein BcsQ
MFCJNMFM_00276	CDS	2619	bcsA	2.4.1.12	COG1215	Cellulose synthase catalytic subunit [UDP-forming]
MFCJNMFM_00277	CDS	2325	bcsB_2		COG1215	Cyclic di-GMP-binding protein
MFCJNMFM_00278	CDS	1110	bcsZ	3.2.1.4	COG3405	Endoglucanase
MFCJNMFM_00279	CDS	3480	bcsC		COG0457	Cellulose synthase operon protein C
MFCJNMFM_00280	CDS	2007	pdeK	3.1.4.52	COG2199	putative cyclic di-GMP phosphodiesterase PdeK
MFCJNMFM_00281	CDS	1287	dctA_1		COG1301	Aerobic C4-dicarboxylate transport protein
MFCJNMFM_00282	CDS	1503	yhjJ		COG0612	Protein YhjJ
MFCJNMFM_00283	CDS	930	kdgK_2	2.7.1.45		2-dehydro-3-deoxygluconokinase
MFCJNMFM_00284	CDS	2052				hypothetical protein
MFCJNMFM_00285	CDS	1323	yhjE		COG0477	Inner membrane metabolite transport protein YhjE
MFCJNMFM_00286	CDS	1032	yhjD		COG1295	Inner membrane protein YhjD
MFCJNMFM_00287	CDS	900	aaeR_2		COG0583	HTH-type transcriptional activator AaeR
MFCJNMFM_00288	CDS	759	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
MFCJNMFM_00289	CDS	534				hypothetical protein
MFCJNMFM_00290	CDS	1653	treF	3.2.1.28	COG1626	Cytoplasmic trehalase
MFCJNMFM_00291	CDS	1194				hypothetical protein
MFCJNMFM_00292	CDS	624	gstB_1	2.5.1.18	COG0625	Glutathione S-transferase GstB
MFCJNMFM_00293	CDS	1353	gor	1.8.1.7	COG1249	Glutathione reductase
MFCJNMFM_00294	CDS	843	rlmJ	2.1.1.266	COG2961	Ribosomal RNA large subunit methyltransferase J
MFCJNMFM_00295	CDS	1272				hypothetical protein
MFCJNMFM_00296	CDS	2043	prlC	3.4.24.70		Oligopeptidase A
MFCJNMFM_00297	CDS	753	rsmJ	2.1.1.242		Ribosomal RNA small subunit methyltransferase J
MFCJNMFM_00298	CDS	1473	dtpB		COG3104	Dipeptide and tripeptide permease B
MFCJNMFM_00299	CDS	438	uspA		COG0589	Universal stress protein A
MFCJNMFM_00300	CDS	336	uspB			Universal stress protein B
MFCJNMFM_00301	CDS	1497	pitA		COG0306	Low-affinity inorganic phosphate transporter PitA
MFCJNMFM_00302	CDS	1149	rdsA	1.3.1.-	COG2081	Ribosomal RNA dihydrouridine synthase
MFCJNMFM_00303	CDS	1014	mgtE_1		COG2239	Magnesium transporter MgtE
MFCJNMFM_00304	CDS	399	nikR		COG0864	Nickel-responsive regulator
MFCJNMFM_00305	CDS	792	nikE	7.2.2.11		Nickel import ATP-binding protein NikE
MFCJNMFM_00306	CDS	765	nikD	7.2.2.11		Nickel import ATP-binding protein NikD
MFCJNMFM_00307	CDS	834	nikC		COG1173	Nickel transport system permease protein NikC
MFCJNMFM_00308	CDS	945	nikB		COG0601	Nickel transport system permease protein NikB
MFCJNMFM_00309	CDS	1569	nikA		COG0747	Nickel-binding periplasmic protein
MFCJNMFM_00310	CDS	861	allS		COG0583	HTH-type transcriptional activator AllS
MFCJNMFM_00311	CDS	507	padC	4.1.1.102	COG3479	Phenolic acid decarboxylase PadC
MFCJNMFM_00312	CDS	1140	arnB	2.6.1.87	COG0399	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
MFCJNMFM_00313	CDS	984	arnC	2.4.2.53	COG0463	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
MFCJNMFM_00314	CDS	1986	arnA		COG0223	Bifunctional polymyxin resistance protein ArnA
MFCJNMFM_00315	CDS	903	arnD	3.5.1.-	COG0726	putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD
MFCJNMFM_00316	CDS	1656	arnT	2.4.2.43	COG1807	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
MFCJNMFM_00317	CDS	339	arnE		COG2076	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
MFCJNMFM_00318	CDS	381	arnF		COG2076	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF
MFCJNMFM_00319	CDS	1050	yhhT_1		COG0628	Putative transport protein YhhT
MFCJNMFM_00320	CDS	1221	yhhS_1		COG0477	putative MFS-type transporter YhhS
MFCJNMFM_00321	CDS	558	dcrB			Inner membrane lipoprotein DcrB
MFCJNMFM_00322	CDS	666	yhhQ		COG1738	Queuosine precursor transporter
MFCJNMFM_00323	CDS	246	tusA		COG0425	Sulfur carrier protein TusA
MFCJNMFM_00324	CDS	2211	zntA	7.2.2.-		Zinc/cadmium/lead-transporting P-type ATPase
MFCJNMFM_00325	CDS	627				hypothetical protein
MFCJNMFM_00326	CDS	351				hypothetical protein
MFCJNMFM_00327	CDS	276				hypothetical protein
MFCJNMFM_00328	CDS	597	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
MFCJNMFM_00329	CDS	1524	ftsY	3.6.5.4	COG0552	Signal recognition particle receptor FtsY
