Gene,Non-unique Gene name,Annotation,KP1766,KP1768,NJST258_1,NR5632,SRR7345603
group_2010,,hypothetical protein,MFCJNMFM_02405,JIEPOILB_02856,MHMAIFBA_02354,KGLDIDPM_02407,CFOCILDN_00668
nlhH,nlhH,Carboxylesterase NlhH,MFCJNMFM_05038,JIEPOILB_05041,MHMAIFBA_04996,KGLDIDPM_05041,CFOCILDN_03883
group_2007,,hypothetical protein,MFCJNMFM_02939,JIEPOILB_02321,MHMAIFBA_02845,KGLDIDPM_02941,CFOCILDN_00135
group_2006,,hypothetical protein,MFCJNMFM_03399,JIEPOILB_03403,MHMAIFBA_03360,KGLDIDPM_03403,CFOCILDN_02043
group_2004,,hypothetical protein,MFCJNMFM_03677,JIEPOILB_03681,MHMAIFBA_03666,KGLDIDPM_03681,CFOCILDN_03616
lamB_3~~~lamB_1,lamB_3;lamB_1,Maltoporin,MFCJNMFM_00050,JIEPOILB_00050,MHMAIFBA_00051,KGLDIDPM_00050,CFOCILDN_03808
ramR_2~~~ramR_1~~~ramR,ramR_2;ramR_1;ramR,Transcriptional regulator RamR,MFCJNMFM_03737,JIEPOILB_03741,MHMAIFBA_03729;MHMAIFBA_03728,KGLDIDPM_03741,CFOCILDN_03676
tufA~~~tufA_1,tufA;tufA_1,Elongation factor Tu 1,MFCJNMFM_04863,JIEPOILB_04866,MHMAIFBA_04824,KGLDIDPM_04866,CFOCILDN_04760
atzE,atzE,1-carboxybiuret hydrolase subunit AtzE,MFCJNMFM_02572,JIEPOILB_02688,MHMAIFBA_02520,KGLDIDPM_02574,CFOCILDN_00502
phnO,phnO,Aminoalkylphosphonate N-acetyltransferase,MFCJNMFM_02570,JIEPOILB_02690,MHMAIFBA_02518,KGLDIDPM_02572,CFOCILDN_00504
group_2000,,hypothetical protein,MFCJNMFM_00700,JIEPOILB_00701,MHMAIFBA_00651,KGLDIDPM_00700,CFOCILDN_01741
group_1999,,hypothetical protein,MFCJNMFM_02941,JIEPOILB_02319,MHMAIFBA_02850;MHMAIFBA_02848,KGLDIDPM_02943,CFOCILDN_00133
rimI_2,rimI_2,[Ribosomal protein bS18]-alanine N-acetyltransferase,MFCJNMFM_04385,JIEPOILB_04389,MHMAIFBA_04440,KGLDIDPM_04389,CFOCILDN_01014
ccmH,;ccmH,hypothetical protein;Cytochrome c-type biogenesis protein CcmH,MFCJNMFM_02266,JIEPOILB_02995,MHMAIFBA_02219,KGLDIDPM_02269,CFOCILDN_00803
group_1998,,hypothetical protein,MFCJNMFM_04317,JIEPOILB_04321,MHMAIFBA_04368,KGLDIDPM_04321,CFOCILDN_01080
group_1997,,hypothetical protein,MFCJNMFM_01968,JIEPOILB_03292,MHMAIFBA_01904,KGLDIDPM_01971,CFOCILDN_02270
rcnA,rcnA,Nickel/cobalt efflux system RcnA,MFCJNMFM_03881,JIEPOILB_03885,MHMAIFBA_03947,KGLDIDPM_03885,CFOCILDN_02538
group_1995,,hypothetical protein,MFCJNMFM_01779,JIEPOILB_01778,MHMAIFBA_01744,KGLDIDPM_01775,CFOCILDN_03349
alkA,alkA,DNA-3-methyladenine glycosylase 2,MFCJNMFM_01772,JIEPOILB_01771,MHMAIFBA_01737,KGLDIDPM_01768,CFOCILDN_03342
yjjX,yjjX,Inosine/xanthosine triphosphatase,MFCJNMFM_04336,JIEPOILB_04340,MHMAIFBA_04387,KGLDIDPM_04340,CFOCILDN_01061
group_1993,,hypothetical protein,MFCJNMFM_00615,JIEPOILB_00616,MHMAIFBA_00567,KGLDIDPM_00615,CFOCILDN_01826
marR,marR,Multiple antibiotic resistance protein MarR,MFCJNMFM_02726,JIEPOILB_02534,MHMAIFBA_02661,KGLDIDPM_02728,CFOCILDN_00348
basS,basS,Sensor protein BasS,MFCJNMFM_03476,JIEPOILB_03480,MHMAIFBA_03484,KGLDIDPM_03480,CFOCILDN_02163
tolC,tolC,Outer membrane protein TolC,MFCJNMFM_00731,JIEPOILB_00732,MHMAIFBA_00682,KGLDIDPM_00731,CFOCILDN_01711
cusC_2,cusC_2,Cation efflux system protein CusC,MFCJNMFM_04469,JIEPOILB_04473,MHMAIFBA_04506,KGLDIDPM_04473,CFOCILDN_04892
tenA_1,tenA_1,Aminopyrimidine aminohydrolase,MFCJNMFM_02548,JIEPOILB_02712,MHMAIFBA_02486,KGLDIDPM_02550,CFOCILDN_00526
nikE,nikE,Nickel import ATP-binding protein NikE,MFCJNMFM_00305,JIEPOILB_00305,MHMAIFBA_00257,KGLDIDPM_00304,CFOCILDN_02755
xerC_1~~~xerC_7~~~xerC_5,xerC_1;xerC_7;xerC_5,Tyrosine recombinase XerC,MFCJNMFM_00130,JIEPOILB_00129,MHMAIFBA_05268,KGLDIDPM_00129,CFOCILDN_04918
group_1991,,hypothetical protein,MFCJNMFM_02565,JIEPOILB_02695,MHMAIFBA_02508,KGLDIDPM_02567,CFOCILDN_00509
group_1990,,hypothetical protein,MFCJNMFM_02563,JIEPOILB_02697,MHMAIFBA_02506,KGLDIDPM_02565,CFOCILDN_00511
group_1989,,hypothetical protein,MFCJNMFM_02947,JIEPOILB_02313,MHMAIFBA_02853,KGLDIDPM_02949,CFOCILDN_00127
syrM1,syrM1,HTH-type transcriptional regulator SyrM 1,MFCJNMFM_04437,JIEPOILB_04441,MHMAIFBA_04486,KGLDIDPM_04441,CFOCILDN_00962
sorF,sorF,PTS system sorbose-specific EIIA component,MFCJNMFM_04813,JIEPOILB_04817,MHMAIFBA_04775,KGLDIDPM_04817,CFOCILDN_03594
hpxW,hpxW,Oxamate amidohydrolase proenzyme,MFCJNMFM_02574,JIEPOILB_02686,MHMAIFBA_02522,KGLDIDPM_02576,CFOCILDN_00500
pnoA,pnoA,Nitronate monooxygenase,MFCJNMFM_02692,JIEPOILB_02568,MHMAIFBA_02626,KGLDIDPM_02694,CFOCILDN_00381
tenA_2,tenA_2,Aminopyrimidine aminohydrolase,MFCJNMFM_02616,JIEPOILB_02644,MHMAIFBA_02549,KGLDIDPM_02618,CFOCILDN_00458
gstB_2,gstB_2,Glutathione S-transferase GST-6.0,MFCJNMFM_02445,JIEPOILB_02815,MHMAIFBA_02393,KGLDIDPM_02447,CFOCILDN_00629
siwR,siwR,Stress-involved WYL domain-containing regulator,MFCJNMFM_03942,JIEPOILB_03946,MHMAIFBA_04008,KGLDIDPM_03946,CFOCILDN_02599
group_1986,,hypothetical protein,MFCJNMFM_01596,JIEPOILB_01597,MHMAIFBA_01561,KGLDIDPM_01594,CFOCILDN_04138
yhaI,yhaI,Inner membrane protein YhaI,MFCJNMFM_04304,JIEPOILB_04308,MHMAIFBA_04355,KGLDIDPM_04308,CFOCILDN_01093
group_1985,,hypothetical protein,MFCJNMFM_02559,JIEPOILB_02701,MHMAIFBA_02498,KGLDIDPM_02561,CFOCILDN_00515
group_1984,,hypothetical protein,MFCJNMFM_02528,JIEPOILB_02732,MHMAIFBA_02466,KGLDIDPM_02530,CFOCILDN_00546
mhpA,mhpA,3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase,MFCJNMFM_02218,JIEPOILB_03043,MHMAIFBA_02171,KGLDIDPM_02221,CFOCILDN_00851
group_1983,,hypothetical protein,MFCJNMFM_04483,JIEPOILB_04487,MHMAIFBA_04520,KGLDIDPM_04487,CFOCILDN_04906
pknK,pknK,Serine/threonine-protein kinase PknK,MFCJNMFM_04043,JIEPOILB_04047,MHMAIFBA_04106,KGLDIDPM_04047,CFOCILDN_04066
tagG,;tagG,hypothetical protein;Teichoic acid translocation permease protein TagG,MFCJNMFM_01794,JIEPOILB_01793,MHMAIFBA_01763,KGLDIDPM_01790,CFOCILDN_04797
xerD_2~~~xerC_7,xerD_2;xerC_7,Tyrosine recombinase XerD;Tyrosine recombinase XerC,MFCJNMFM_05361,JIEPOILB_05361,MHMAIFBA_05146,KGLDIDPM_05360,CFOCILDN_04865
group_1982,,hypothetical protein,MFCJNMFM_03109,JIEPOILB_02151,MHMAIFBA_03087,KGLDIDPM_03113,CFOCILDN_04297
dauA_3~~~dauA_2,dauA_3;dauA_2,C4-dicarboxylic acid transporter DauA,MFCJNMFM_04656,JIEPOILB_04660,MHMAIFBA_04548,KGLDIDPM_04660,CFOCILDN_02893
lsrA,lsrA,Autoinducer 2 import ATP-binding protein LsrA,MFCJNMFM_00670,JIEPOILB_00671,MHMAIFBA_00621,KGLDIDPM_00670,CFOCILDN_01771
rsxC,rsxC,Ion-translocating oxidoreductase complex subunit C,MFCJNMFM_02371,JIEPOILB_02890,MHMAIFBA_02320,KGLDIDPM_02373,CFOCILDN_00702
group_1981,,hypothetical protein,MFCJNMFM_01155,JIEPOILB_01155,MHMAIFBA_01143,KGLDIDPM_01154,CFOCILDN_01293
group_1979,,Acetyltransferase,MFCJNMFM_00070,JIEPOILB_00070,MHMAIFBA_00071,KGLDIDPM_00070,CFOCILDN_04379
hxpB_1,hxpB_1,Hexitol phosphatase B,MFCJNMFM_01751,JIEPOILB_01750,MHMAIFBA_01716,KGLDIDPM_01747,CFOCILDN_03321
yycE,yycE,putative protein YycE,MFCJNMFM_02696,JIEPOILB_02564,MHMAIFBA_02629,KGLDIDPM_02698,CFOCILDN_00377
phnX,phnX,Phosphonoacetaldehyde hydrolase,MFCJNMFM_00043,JIEPOILB_00043,MHMAIFBA_00043,KGLDIDPM_00043,CFOCILDN_03801
group_1977,,hypothetical protein,MFCJNMFM_04481,JIEPOILB_04485,MHMAIFBA_04518,KGLDIDPM_04485,CFOCILDN_04904
cusF_1,cusF_1,Cation efflux system protein CusF,MFCJNMFM_04470,JIEPOILB_04474,MHMAIFBA_04507,KGLDIDPM_04474,CFOCILDN_04893
gstB_4,gstB_4,Glutathione S-transferase GstB,MFCJNMFM_04055,JIEPOILB_04059,MHMAIFBA_04118,KGLDIDPM_04059,CFOCILDN_04054
group_1976,,hypothetical protein,MFCJNMFM_02591,JIEPOILB_02669,MHMAIFBA_02539,KGLDIDPM_02593,CFOCILDN_00483
ugpC_2,ugpC_2,sn-glycerol-3-phosphate import ATP-binding protein UgpC,MFCJNMFM_04651,JIEPOILB_04655,MHMAIFBA_04553,KGLDIDPM_04655,CFOCILDN_02898
lipL,lipL,Lipoyl-[GcvH]:protein N-lipoyltransferase,MFCJNMFM_01823,JIEPOILB_01829,MHMAIFBA_01799,KGLDIDPM_01826,CFOCILDN_02191
oadG~~~oadG_2,oadG;oadG_2,Oxaloacetate decarboxylase gamma chain,MFCJNMFM_04297,JIEPOILB_04301,MHMAIFBA_04348,KGLDIDPM_04301,CFOCILDN_01100
rsmB,rsmB,Ribosomal RNA small subunit methyltransferase B,MFCJNMFM_00471,JIEPOILB_00472,MHMAIFBA_00422,KGLDIDPM_00471,CFOCILDN_04830
glaR,glaR,HTH-type transcriptional repressor GlaR,MFCJNMFM_04063,JIEPOILB_04067,MHMAIFBA_04126,KGLDIDPM_04067,CFOCILDN_04046
ydcF,ydcF,Protein YdcF,MFCJNMFM_02855,JIEPOILB_02405,MHMAIFBA_02760,KGLDIDPM_02857,CFOCILDN_00219
lrhA_2,lrhA_2,putative HTH-type transcriptional regulator LrhA,MFCJNMFM_02542,JIEPOILB_02718,MHMAIFBA_02480,KGLDIDPM_02544,CFOCILDN_00532
group_1974,,hypothetical protein,MFCJNMFM_03765,JIEPOILB_03769,MHMAIFBA_03763,KGLDIDPM_03769,CFOCILDN_03703
group_1973,,hypothetical protein,MFCJNMFM_03800,JIEPOILB_03804,MHMAIFBA_03796,KGLDIDPM_03804,CFOCILDN_02456
yraA,;yraA,hypothetical protein;Putative cysteine protease YraA,MFCJNMFM_02957,JIEPOILB_02303,MHMAIFBA_02922,KGLDIDPM_02959,CFOCILDN_00117
crgA_2,crgA_2,HTH-type transcriptional regulator CrgA,MFCJNMFM_02308,JIEPOILB_02953,MHMAIFBA_02258,KGLDIDPM_02310,CFOCILDN_00765
group_1972,,hypothetical protein,MFCJNMFM_02967,JIEPOILB_02293,MHMAIFBA_02933,KGLDIDPM_02969,CFOCILDN_00107
group_1971,,hypothetical protein,MFCJNMFM_02087,JIEPOILB_03174,MHMAIFBA_02039,KGLDIDPM_02090,CFOCILDN_02388
group_1969,,hypothetical protein,MFCJNMFM_02529,JIEPOILB_02731,MHMAIFBA_02467,KGLDIDPM_02531,CFOCILDN_00545
ybiV,ybiV,Sugar phosphatase YbiV,MFCJNMFM_03424,JIEPOILB_03428,MHMAIFBA_03431,KGLDIDPM_03428,CFOCILDN_02111
ompC,ompC,Outer membrane porin C,MFCJNMFM_01655,JIEPOILB_01655,MHMAIFBA_01620,KGLDIDPM_01652,CFOCILDN_03226
group_1964,,hypothetical protein,MFCJNMFM_02267,JIEPOILB_02994,MHMAIFBA_02220,KGLDIDPM_02270,CFOCILDN_00802
pal_1~~~pal_3,;pal_1;pal_3,hypothetical protein;Peptidoglycan-associated lipoprotein,MFCJNMFM_02080,JIEPOILB_03181,MHMAIFBA_02015;MHMAIFBA_02014,KGLDIDPM_02083,CFOCILDN_02381
xylB_3~~~xylB_2,xylB_3;xylB_2,Xylulose kinase,MFCJNMFM_01748;MFCJNMFM_01749,JIEPOILB_01748,MHMAIFBA_01714,KGLDIDPM_01745,CFOCILDN_03319
group_1962,,hypothetical protein,MFCJNMFM_02935,JIEPOILB_02325,MHMAIFBA_02841;MHMAIFBA_02840,KGLDIDPM_02937,CFOCILDN_00139
bcsQ_1,bcsQ_1,Cellulose biosynthesis protein BcsQ,MFCJNMFM_00265,JIEPOILB_00265,MHMAIFBA_00217,KGLDIDPM_00264,CFOCILDN_02795
ynfE_2~~~ynfE,ynfE_2;ynfE,Putative dimethyl sulfoxide reductase chain YnfE,MFCJNMFM_02775,JIEPOILB_02485,MHMAIFBA_02679,KGLDIDPM_02777,CFOCILDN_00299
group_1959,,hypothetical protein,MFCJNMFM_04583,JIEPOILB_04587,MHMAIFBA_04620,KGLDIDPM_04587,CFOCILDN_02965;CFOCILDN_02964
group_1957,,hypothetical protein,MFCJNMFM_02937,JIEPOILB_02323,MHMAIFBA_02843,KGLDIDPM_02939,CFOCILDN_00137
gltA_2,gltA_2,Citrate synthase,MFCJNMFM_03815,JIEPOILB_03819,MHMAIFBA_03811,KGLDIDPM_03819,CFOCILDN_02471
pgrR_1,pgrR_1,HTH-type transcriptional regulator PgrR,MFCJNMFM_00861,JIEPOILB_00862,MHMAIFBA_00878,KGLDIDPM_00861,CFOCILDN_01580
ureC,ureC,Urease subunit alpha,MFCJNMFM_00712,JIEPOILB_00713,MHMAIFBA_00663,KGLDIDPM_00712,CFOCILDN_01730
group_1952,,ISNCY family transposase ISSen7;hypothetical protein,MFCJNMFM_01395;MFCJNMFM_01394,JIEPOILB_01396;JIEPOILB_01395,MHMAIFBA_01437,KGLDIDPM_01393;KGLDIDPM_01392,CFOCILDN_03124;CFOCILDN_03123
nfsB_1~~~nfsB~~~nfsB_2,nfsB_1;nfsB;nfsB_2,Oxygen-insensitive NAD(P)H nitroreductase,MFCJNMFM_03740;MFCJNMFM_03739,JIEPOILB_03744;JIEPOILB_03743,MHMAIFBA_03731,KGLDIDPM_03744;KGLDIDPM_03743,CFOCILDN_03678
group_1949,,hypothetical protein,MFCJNMFM_04802,JIEPOILB_04806,MHMAIFBA_04764;MHMAIFBA_04763,KGLDIDPM_04806,CFOCILDN_03583
group_1948,,hypothetical protein,MFCJNMFM_04600,JIEPOILB_04604,MHMAIFBA_04605,KGLDIDPM_04604,CFOCILDN_02949
sbnD_1~~~mdtG,sbnD_1;mdtG,Staphyloferrin B transporter;Multidrug resistance protein MdtG,MFCJNMFM_03214,JIEPOILB_02046,MHMAIFBA_03182;MHMAIFBA_03183,KGLDIDPM_03218,CFOCILDN_03417
fadJ_2~~~fadJ_1~~~fadJ,fadJ_2;fadJ_1;fadJ,Fatty acid oxidation complex subunit alpha,MFCJNMFM_01568,JIEPOILB_01569,MHMAIFBA_01532;MHMAIFBA_01533,KGLDIDPM_01566,CFOCILDN_04166
group_1947,,hypothetical protein,MFCJNMFM_00649,JIEPOILB_00650,MHMAIFBA_00600,KGLDIDPM_00649,CFOCILDN_01792
group_1945,,hypothetical protein,MFCJNMFM_03099,JIEPOILB_02161,MHMAIFBA_03077,KGLDIDPM_03103,CFOCILDN_04307
pulH,pulH,Type II secretion system protein H,MFCJNMFM_04173,JIEPOILB_04177,MHMAIFBA_04221,KGLDIDPM_04177,CFOCILDN_01224
fabY,fabY,putative acyltransferase FabY,MFCJNMFM_05039,JIEPOILB_05042,MHMAIFBA_04997,KGLDIDPM_05042,CFOCILDN_03884
eutL_2~~~eutL~~~eutL_1,eutL_2;eutL;eutL_1,Bacterial microcompartment shell protein EutL,MFCJNMFM_01431;MFCJNMFM_01432,JIEPOILB_01432;JIEPOILB_01433,MHMAIFBA_01473,KGLDIDPM_01429;KGLDIDPM_01430,CFOCILDN_03087
group_1942,,hypothetical protein,MFCJNMFM_03662,JIEPOILB_03666,MHMAIFBA_03502,KGLDIDPM_03666,CFOCILDN_04709
aroG,aroG,Phospho-2-dehydro-3-deoxyheptonate aldolase Phe-sensitive,MFCJNMFM_03631,JIEPOILB_03635,MHMAIFBA_03524,KGLDIDPM_03635,CFOCILDN_04678
gss_1~~~gss_2~~~gss,gss_1;gss_2;gss,Bifunctional glutathionylspermidine synthetase/amidase,MFCJNMFM_00762,JIEPOILB_00763,MHMAIFBA_00713;MHMAIFBA_00714,KGLDIDPM_00762,CFOCILDN_01680
tssB1_1~~~tssB1,tssB1_1;tssB1,Type VI secretion system sheath protein TssB1,MFCJNMFM_02956,JIEPOILB_02304,MHMAIFBA_02862,KGLDIDPM_02958,CFOCILDN_00118
yddG,;yddG,hypothetical protein;Aromatic amino acid exporter YddG,MFCJNMFM_02474,JIEPOILB_02786,MHMAIFBA_02418,KGLDIDPM_02476,CFOCILDN_00600
mcbA,mcbA,putative protein McbA,MFCJNMFM_03447,JIEPOILB_03451,MHMAIFBA_03454,KGLDIDPM_03451,CFOCILDN_02134
mepK,mepK,Peptidoglycan LD-endopeptidase MepK,MFCJNMFM_03325,JIEPOILB_03329,MHMAIFBA_03285,KGLDIDPM_03329,CFOCILDN_01970
group_1938,,hypothetical protein,MFCJNMFM_01768,JIEPOILB_01767,MHMAIFBA_01733,KGLDIDPM_01764,CFOCILDN_03338
tyrB_2~~~tyrB_3,tyrB_2;tyrB_3,Tyrosine aminotransferase,MFCJNMFM_04776,JIEPOILB_04780,MHMAIFBA_04739;MHMAIFBA_04738,KGLDIDPM_04780,CFOCILDN_03559
group_1937,,hypothetical protein,MFCJNMFM_02931,JIEPOILB_02329,MHMAIFBA_02836,KGLDIDPM_02933,CFOCILDN_00143
nhaB,nhaB,Na(+)/H(+) antiporter NhaB,MFCJNMFM_02040,JIEPOILB_03221,MHMAIFBA_01975,KGLDIDPM_02043,CFOCILDN_02341
graF,graF,Gamma-resorcylate decarboxylase,MFCJNMFM_04942,JIEPOILB_04945,MHMAIFBA_04902,KGLDIDPM_04945,CFOCILDN_04238
resA,resA,Thiol-disulfide oxidoreductase ResA,MFCJNMFM_00835,JIEPOILB_00836,MHMAIFBA_00852,KGLDIDPM_00835,CFOCILDN_01606
tktA_2~~~tktA~~~tktA_1,;tktA_2;tktA;tktA_1,hypothetical protein;Transketolase 1,MFCJNMFM_00815,JIEPOILB_00816,MHMAIFBA_00832,KGLDIDPM_00815,CFOCILDN_01626;CFOCILDN_01627
ecoRIIR,ecoRIIR,Type II restriction enzyme EcoRII,MFCJNMFM_00128,JIEPOILB_00127,MHMAIFBA_05266,KGLDIDPM_00127,CFOCILDN_04920
tesA,tesA;,Thioesterase 1/protease 1/lysophospholipase L1;hypothetical protein,MFCJNMFM_03832,JIEPOILB_03836,MHMAIFBA_03898,KGLDIDPM_03836,CFOCILDN_02489
group_1935,,hypothetical protein,MFCJNMFM_02280,JIEPOILB_02981,MHMAIFBA_02231,3_refound_4_pseudo,4_refound_19_pseudo
cbiG,cbiG,Cobalt-precorrin-5A hydrolase,MFCJNMFM_00980,JIEPOILB_00981,MHMAIFBA_00995,KGLDIDPM_00980,CFOCILDN_01464
hcpA_1,hcpA_1,Major exported protein,MFCJNMFM_01098,JIEPOILB_01098,MHMAIFBA_01086,KGLDIDPM_01097,CFOCILDN_01350
rhmD_1~~~rhmD_2~~~rhmD,rhmD_1;rhmD_2;rhmD,L-rhamnonate dehydratase,MFCJNMFM_01638,JIEPOILB_01639,MHMAIFBA_01603;MHMAIFBA_01604,KGLDIDPM_01636,CFOCILDN_04096
pduA,pduA,Bacterial microcompartment shell protein PduA,MFCJNMFM_00968,JIEPOILB_00969,MHMAIFBA_00985,KGLDIDPM_00968,CFOCILDN_01474
yedK,yedK,Abasic site processing protein YedK,MFCJNMFM_02761,JIEPOILB_02499,MHMAIFBA_02664,KGLDIDPM_02763,CFOCILDN_00313
yfhL,yfhL,Ferredoxin YfhL,MFCJNMFM_01324,JIEPOILB_01325,MHMAIFBA_01318,KGLDIDPM_01322,CFOCILDN_03194
argO,argO,Arginine exporter protein ArgO,MFCJNMFM_00820,JIEPOILB_00821,MHMAIFBA_00837,KGLDIDPM_00820,CFOCILDN_01621
smc_1,;smc_1,hypothetical protein;Chromosome partition protein Smc,MFCJNMFM_04201,JIEPOILB_04205,MHMAIFBA_04252,KGLDIDPM_04205,CFOCILDN_01196
phnV_1~~~phnV_2~~~phnV,phnV_1;phnV_2;phnV,Putative 2-aminoethylphosphonate transport system permease protein PhnV,MFCJNMFM_00049,JIEPOILB_00049,MHMAIFBA_00050;MHMAIFBA_00049,KGLDIDPM_00049,CFOCILDN_03807
aztC,aztC,High-affinity zinc uptake system protein AztC,MFCJNMFM_01158,JIEPOILB_01158,MHMAIFBA_01146,KGLDIDPM_01157,CFOCILDN_01290
mntB_4,mntB_4,Manganese transport system ATP-binding protein MntB,MFCJNMFM_01156,JIEPOILB_01156,MHMAIFBA_01144,KGLDIDPM_01155,CFOCILDN_01292
group_1934,,hypothetical protein,MFCJNMFM_02961,JIEPOILB_02299,MHMAIFBA_02927,KGLDIDPM_02963,CFOCILDN_00113
nfsA,nfsA,Oxygen-insensitive NADPH nitroreductase,MFCJNMFM_03398,JIEPOILB_03402,MHMAIFBA_03358,KGLDIDPM_03402,CFOCILDN_02042
ygaP,ygaP,Thiosulfate sulfurtransferase YgaP,MFCJNMFM_01196,JIEPOILB_01196,MHMAIFBA_01184,KGLDIDPM_01194,CFOCILDN_03930
moaA,moaA,GTP 3'8-cyclase,MFCJNMFM_03472,JIEPOILB_03476,MHMAIFBA_03480,KGLDIDPM_03476,CFOCILDN_02159
group_1933,,hypothetical protein,MFCJNMFM_00876,JIEPOILB_00877,MHMAIFBA_00892,KGLDIDPM_00876,CFOCILDN_01565
pcaR_1~~~xynR,pcaR_1;xynR,Pca regulon regulatory protein;HTH-type transcriptional regulator XynR,MFCJNMFM_00803,JIEPOILB_00804,MHMAIFBA_00820,KGLDIDPM_00803,CFOCILDN_01639
group_1932,,hypothetical protein,MFCJNMFM_02662,JIEPOILB_02598,MHMAIFBA_02596,KGLDIDPM_02664,CFOCILDN_00411
